beta1,beta2,beta_v,beta_z_infinity
0,0,8,0.689673315674
0.0062893081761,0,7.89937106918,0.687515900627
0.0125786163522,0,7.79874213836,0.685350331302
0.0188679245283,0,7.69811320755,0.683176671595
0.0251572327044,0,7.59748427673,0.6809949867
0.0314465408805,0,7.49685534591,0.678805343108
0.0377358490566,0,7.39622641509,0.676607808604
0.0440251572327,0,7.29559748428,0.674402452266
0.0503144654088,0,7.19496855346,0.672189344455
0.0566037735849,0,7.09433962264,0.669968556818
0.062893081761,0,6.99371069182,0.667740162276
0.0691823899371,0,6.89308176101,0.665504235026
0.0754716981132,0,6.79245283019,0.663260850529
0.0817610062893,0,6.69182389937,0.66101008551
0.0880503144654,0,6.59119496855,0.658752017946
0.0943396226415,0,6.49056603774,0.656486727064
0.100628930818,0,6.38993710692,0.65421429333
0.106918238994,0,6.2893081761,0.651934798445
0.11320754717,0,6.18867924528,0.649648325333
0.119496855346,0,6.08805031447,0.647354958135
0.125786163522,0,5.98742138365,0.645054782201
0.132075471698,0,5.88679245283,0.642747884078
0.138364779874,0,5.78616352201,0.640434351501
0.14465408805,0,5.68553459119,0.638114273385
0.150943396226,0,5.58490566038,0.635787739812
0.157232704403,0,5.48427672956,0.633454842021
0.163522012579,0,5.38364779874,0.631115672395
0.169811320755,0,5.28301886792,0.628770324452
0.176100628931,0,5.18238993711,0.626418892831
0.182389937107,0,5.08176100629,0.624061473279
0.188679245283,0,4.98113207547,0.621698162639
0.194968553459,0,4.88050314465,0.619329058836
0.201257861635,0,4.77987421384,0.616954260863
0.207547169811,0,4.67924528302,0.614573868765
0.213836477987,0,4.5786163522,0.612187983629
0.220125786164,0,4.47798742138,0.609796707564
0.22641509434,0,4.37735849057,0.607400143688
0.232704402516,0,4.27672955975,0.604998396112
0.238993710692,0,4.17610062893,0.602591569922
0.245283018868,0,4.07547169811,0.600179771164
0.251572327044,0,3.9748427673,0.597763106829
0.25786163522,0,3.87421383648,0.595341684829
0.264150943396,0,3.77358490566,0.592915613986
0.270440251572,0,3.67295597484,0.590485004012
0.276729559748,0,3.57232704403,0.588049965488
0.283018867925,0,3.47169811321,0.585610609848
0.289308176101,0,3.37106918239,0.58316704936
0.295597484277,0,3.27044025157,0.580719397102
0.301886792453,0,3.16981132075,0.578267766948
0.308176100629,0,3.06918238994,0.575812273547
0.314465408805,0,2.96855345912,0.573353032297
0.320754716981,0,2.8679245283,0.570890159331
0.327044025157,0,2.76729559748,0.568423771492
0.333333333333,0,2.66666666667,0.565953986312
0.339622641509,0,2.56603773585,0.563480921994
0.345911949686,0,2.46540880503,0.561004697383
0.352201257862,0,2.36477987421,0.558525431952
0.358490566038,0,2.2641509434,0.556043245772
0.364779874214,0,2.16352201258,0.553558259496
0.37106918239,0,2.06289308176,0.55107059433
0.377358490566,0,1.96226415094,0.548580372014
0.383647798742,0,1.86163522013,0.546087714799
0.389937106918,0,1.76100628931,0.543592745417
0.396226415094,0,1.66037735849,0.541095587067
0.40251572327,0,1.55974842767,0.538596363383
0.408805031447,0,1.45911949686,0.536095198414
0.415094339623,0,1.35849056604,0.533592216596
0.421383647799,0,1.25786163522,0.531087542731
0.427672955975,0,1.1572327044,0.528581301963
0.433962264151,0,1.05660377358,0.526073619749
0.440251572327,0,0.955974842767,0.523564621835
0.446540880503,0,0.85534591195,0.521054434236
0.452830188679,0,0.754716981132,0.518543183203
0.459119496855,0,0.654088050314,0.516030995204
0.465408805031,0,0.553459119497,0.513517996895
0.471698113208,0,0.452830188679,0.511004315096
0.477987421384,0,0.352201257862,0.508490076766
0.48427672956,0,0.251572327044,0.505975408975
0.490566037736,0,0.150943396226,0.503460438881
0.496855345912,0,0.0503144654088,0.500945293703
0.503144654088,0,-0.0503144654088,0.498430100694
0.509433962264,0,-0.150943396226,0.495914987119
0.51572327044,0,-0.251572327044,0.493400080226
0.522012578616,0,-0.352201257862,0.490885507219
0.528301886792,0,-0.452830188679,0.488371395239
0.534591194969,0,-0.553459119497,0.48585787133
0.540880503145,0,-0.654088050314,0.483345062418
0.547169811321,0,-0.754716981132,0.480833095285
0.553459119497,0,-0.85534591195,0.478322096544
0.559748427673,0,-0.955974842767,0.475812192609
0.566037735849,0,-1.05660377358,0.473303509677
0.572327044025,0,-1.1572327044,0.470796173698
0.578616352201,0,-1.25786163522,0.468290310348
0.584905660377,0,-1.35849056604,0.465786045009
0.591194968553,0,-1.45911949686,0.463283502742
0.59748427673,0,-1.55974842767,0.46078280826
0.603773584906,0,-1.66037735849,0.458284085907
0.610062893082,0,-1.76100628931,0.45578745963
0.616352201258,0,-1.86163522013,0.453293052957
0.622641509434,0,-1.96226415094,0.450800988974
0.62893081761,0,-2.06289308176,0.448311390295
0.635220125786,0,-2.16352201258,0.445824379047
0.641509433962,0,-2.2641509434,0.443340076838
0.647798742138,0,-2.36477987421,0.440858604741
0.654088050314,0,-2.46540880503,0.438380083266
0.660377358491,0,-2.56603773585,0.435904632337
0.666666666667,0,-2.66666666667,0.433432371273
0.672955974843,0,-2.76729559748,0.430963418762
0.679245283019,0,-2.8679245283,0.428497892842
0.685534591195,0,-2.96855345912,0.426035910877
0.691823899371,0,-3.06918238994,0.423577589535
0.698113207547,0,-3.16981132075,0.421123044768
0.704402515723,0,-3.27044025157,0.418672391791
0.710691823899,0,-3.37106918239,0.416225745061
0.716981132075,0,-3.47169811321,0.413783218257
0.723270440252,0,-3.57232704403,0.411344924258
0.729559748428,0,-3.67295597484,0.408910975126
0.735849056604,0,-3.77358490566,0.406481482085
0.74213836478,0,-3.87421383648,0.404056555503
