epsilon1,average_error,average_entropy_production,beta_out_hot_input,beta_out_cold_input
1,0.164768165001,37265.9214427,1.65613731493,1.41249291156
2,0.0311144830998,286750.579103,1.75878725643,1.29868357225
5,0.000218819600254,3102912.44816,1.93375761349,1.08679606819
10,1.97702462767e-05,9549596.49504,1.99421017167,1.00774193143
20,1.54802392277e-05,19881710.082,1.99996076261,1.0000525693
