beta1,beta2,beta3,beta_v,beta_z_infinity
0,0,0,32,0.960772762156
0,0,0.0285714285714,31.3142857143,0.958105260087
0,0,0.0571428571429,30.6285714286,0.955264816629
0,0,0.0857142857143,29.9428571429,0.952241398946
0,0,0.114285714286,29.2571428571,0.949024555994
0,0,0.142857142857,28.5714285714,0.945603424632
0,0,0.171428571429,27.8857142857,0.941966739953
0,0,0.2,27.2,0.938102850413
0,0,0.228571428571,26.5142857143,0.933999738363
0,0,0.257142857143,25.8285714286,0.929645046642
0,0,0.285714285714,25.1428571429,0.925026111887
0,0,0.314285714286,24.4571428571,0.920130005238
0,0,0.342857142857,23.7714285714,0.914943581126
0,0,0.371428571429,23.0857142857,0.909453534814
0,0,0.4,22.4,0.903646469315
0,0,0.428571428571,21.7142857143,0.897508972279
0,0,0.457142857143,21.0285714286,0.891027703364
0,0,0.485714285714,20.3428571429,0.884189492474
0,0,0.514285714286,19.6571428571,0.876981449141
0,0,0.542857142857,18.9714285714,0.869391083141
0,0,0.571428571429,18.2857142857,0.861406436223
0,0,0.6,17.6,0.853016224597
0,0,0.628571428571,16.9142857143,0.844209991528
0,0,0.657142857143,16.2285714286,0.834978269073
0,0,0.685714285714,15.5428571429,0.825312747651
0,0,0.714285714286,14.8571428571,0.815206451718
0,0,0.742857142857,14.1714285714,0.804653919479
0,0,0.771428571429,13.4857142857,0.79365138409
0,0,0.8,12.8,0.782196953458
0,0,0.828571428571,12.1142857143,0.770290785308
0,0,0.857142857143,11.4285714286,0.757935253882
0,0,0.885714285714,10.7428571429,0.74513510431
0,0,0.914285714286,10.0571428571,0.731897590505
0,0,0.942857142857,9.37142857143,0.718232592315
0,0,0.971428571429,8.68571428571,0.704152707678
0,0,1,8,0.689673315674
0.0285714285714,0,0,31.3142857143,0.958105260087
0.0285714285714,0,0.0285714285714,30.6285714286,0.955264816629
0.0285714285714,0,0.0571428571429,29.9428571429,0.952241398946
0.0285714285714,0,0.0857142857143,29.2571428571,0.949024555994
0.0285714285714,0,0.114285714286,28.5714285714,0.945603424632
0.0285714285714,0,0.142857142857,27.8857142857,0.941966739953
0.0285714285714,0,0.171428571429,27.2,0.938102850413
0.0285714285714,0,0.2,26.5142857143,0.933999738363
0.0285714285714,0,0.228571428571,25.8285714286,0.929645046642
0.0285714285714,0,0.257142857143,25.1428571429,0.925026111887
0.0285714285714,0,0.285714285714,24.4571428571,0.920130005238
0.0285714285714,0,0.314285714286,23.7714285714,0.914943581126
0.0285714285714,0,0.342857142857,23.0857142857,0.909453534814
0.0285714285714,0,0.371428571429,22.4,0.903646469315
0.0285714285714,0,0.4,21.7142857143,0.897508972279
0.0285714285714,0,0.428571428571,21.0285714286,0.891027703364
0.0285714285714,0,0.457142857143,20.3428571429,0.884189492474
0.0285714285714,0,0.485714285714,19.6571428571,0.876981449141
0.0285714285714,0,0.514285714286,18.9714285714,0.869391083141
0.0285714285714,0,0.542857142857,18.2857142857,0.861406436223
0.0285714285714,0,0.571428571429,17.6,0.853016224597
0.0285714285714,0,0.6,16.9142857143,0.844209991528
0.0285714285714,0,0.628571428571,16.2285714286,0.834978269073
0.0285714285714,0,0.657142857143,15.5428571429,0.825312747651
0.0285714285714,0,0.685714285714,14.8571428571,0.815206451718
0.0285714285714,0,0.714285714286,14.1714285714,0.804653919479
0.0285714285714,0,0.742857142857,13.4857142857,0.79365138409
0.0285714285714,0,0.771428571429,12.8,0.782196953458
0.0285714285714,0,0.8,12.1142857143,0.770290785308
0.0285714285714,0,0.828571428571,11.4285714286,0.757935253882
0.0285714285714,0,0.857142857143,10.7428571429,0.74513510431
0.0285714285714,0,0.885714285714,10.0571428571,0.731897590505
0.0285714285714,0,0.914285714286,9.37142857143,0.718232592315
0.0285714285714,0,0.942857142857,8.68571428571,0.704152707678
0.0285714285714,0,0.971428571429,8,0.689673315674
0.0285714285714,0,1,7.31428571429,0.674812606669
0.0571428571429,0,0,30.6285714286,0.955264816629
0.0571428571429,0,0.0285714285714,29.9428571429,0.952241398946
0.0571428571429,0,0.0571428571429,29.2571428571,0.949024555994
0.0571428571429,0,0.0857142857143,28.5714285714,0.945603424632
0.0571428571429,0,0.114285714286,27.8857142857,0.941966739953
0.0571428571429,0,0.142857142857,27.2,0.938102850413
0.0571428571429,0,0.171428571429,26.5142857143,0.933999738363
0.0571428571429,0,0.2,25.8285714286,0.929645046642
0.0571428571429,0,0.228571428571,25.1428571429,0.925026111887
0.0571428571429,0,0.257142857143,24.4571428571,0.920130005238
0.0571428571429,0,0.285714285714,23.7714285714,0.914943581126
0.0571428571429,0,0.314285714286,23.0857142857,0.909453534814
0.0571428571429,0,0.342857142857,22.4,0.903646469315
0.0571428571429,0,0.371428571429,21.7142857143,0.897508972279
0.0571428571429,0,0.4,21.0285714286,0.891027703364
0.0571428571429,0,0.428571428571,20.3428571429,0.884189492474
0.0571428571429,0,0.457142857143,19.6571428571,0.876981449141
