beta1,beta2,nand_beta_z,or_beta_z,xor_beta_z
0,0,0.999999999962,0.000335070951231,0.000336871528317
0.0062893081761,0,0.999999999958,0.000370530489184,0.00033706264297
0.0125786163522,0,0.999999999954,0.000409741062627,0.000337274100601
0.0188679245283,0,0.999999999949,0.00045309912636,0.000337508079519
0.0251572327044,0,0.999999999943,0.000501042960886,0.000337766994166
0.0314465408805,0,0.999999999937,0.000554057067982,0.000338053521354
0.0377358490566,0,0.999999999931,0.000612677024371,0.000338370629551
0.0440251572327,0,0.999999999924,0.000677494840478,0.000338721611644
0.0503144654088,0,0.999999999915,0.000749164875728,0.000339110121522
0.0566037735849,0,0.999999999906,0.00082841036693,0.000339540215139
0.062893081761,0,0.999999999897,0.000916030631761,0.000340016396462
0.0691823899371,0,0.999999999886,0.00101290901525,0.00034054366914
0.0754716981132,0,0.999999999874,0.0011200216536,0.000341127594534
0.0817610062893,0,0.99999999986,0.00123844713648,0.000341774357116
0.0880503144654,0,0.999999999845,0.00136937715667,0.000342490838199
0.0943396226415,0,0.999999999829,0.00151412824336,0.000343284699267
0.100628930818,0,0.999999999811,0.00167415468456,0.000344164476289
0.106918238994,0,0.999999999791,0.00185106275245,0.000345139686767
0.11320754717,0,0.999999999769,0.00204662635561,0.000346220951371
0.119496855346,0,0.999999999744,0.00226280425146,0.000347420132608
0.125786163522,0,0.999999999717,0.00250175896313,0.000348750493221
0.132075471698,0,0.999999999687,0.00276587755512,0.000350226877618
0.138364779874,0,0.999999999654,0.00305779443323,0.000351865920295
0.14465408805,0,0.999999999617,0.00338041634471,0.000353686285918
0.150943396226,0,0.999999999577,0.00373694976505,0.00035570894679
0.157232704403,0,0.999999999532,0.00413093086763,0.000357957504544
0.163522012579,0,0.999999999482,0.00456625828081,0.00036045856435
0.169811320755,0,0.999999999428,0.00504722884466,0.000363242171865
0.176100628931,0,0.999999999367,0.00557857658362,0.000366342325166
0.182389937107,0,0.9999999993,0.0061655151137,0.000369797577072
0.188679245283,0,0.999999999226,0.00681378369965,0.00037365174642
0.194968553459,0,0.999999999144,0.00752969717048,0.000377954761665
0.201257861635,0,0.999999999053,0.00832019988578,0.000382763665582
0.207547169811,0,0.999999998953,0.00919292392269,0.000388143817205
0.213836477987,0,0.999999998842,0.010156251618,0.000394170336222
0.220125786164,0,0.99999999872,0.0112193825515,0.000400929846833
0.22641509434,0,0.999999998584,0.0123924049927,0.000408522593492
0.232704402516,0,0.999999998435,0.0136863717459,0.000417065020364
0.238993710692,0,0.999999998269,0.0151133802208,0.000426692932424
0.245283018868,0,0.999999998085,0.0166866564144,0.000437565389644
0.251572327044,0,0.999999997883,0.01842064232,0.000449869530301
