epsilon1,epsilon0,epsilon_z,beta1,beta_v,beta_z_infinity
1,1.1,0.1,0.5,11.5,1.75878725643
1,1.1,0.1,0.505012531328,11.4498746867,1.75786876779
1,1.1,0.1,0.510025062657,11.3997493734,1.75694790238
1,1.1,0.1,0.515037593985,11.3496240602,1.75602466257
1,1.1,0.1,0.520050125313,11.2994987469,1.75509905081
1,1.1,0.1,0.525062656642,11.2493734336,1.75417106961
1,1.1,0.1,0.53007518797,11.1992481203,1.75324072156
1,1.1,0.1,0.535087719298,11.149122807,1.75230800931
1,1.1,0.1,0.540100250627,11.0989974937,1.75137293562
1,1.1,0.1,0.545112781955,11.0488721805,1.75043550328
1,1.1,0.1,0.550125313283,10.9987468672,1.74949571517
1,1.1,0.1,0.555137844612,10.9486215539,1.74855357426
1,1.1,0.1,0.56015037594,10.8984962406,1.74760908356
1,1.1,0.1,0.565162907268,10.8483709273,1.7466622462
1,1.1,0.1,0.570175438596,10.798245614,1.74571306533
1,1.1,0.1,0.575187969925,10.7481203008,1.74476154422
1,1.1,0.1,0.580200501253,10.6979949875,1.74380768619
1,1.1,0.1,0.585213032581,10.6478696742,1.74285149465
1,1.1,0.1,0.59022556391,10.5977443609,1.74189297307
1,1.1,0.1,0.595238095238,10.5476190476,1.74093212502
1,1.1,0.1,0.600250626566,10.4974937343,1.73996895411
1,1.1,0.1,0.605263157895,10.4473684211,1.73900346406
1,1.1,0.1,0.610275689223,10.3972431078,1.73803565864
1,1.1,0.1,0.615288220551,10.3471177945,1.73706554172
1,1.1,0.1,0.62030075188,10.2969924812,1.73609311723
1,1.1,0.1,0.625313283208,10.2468671679,1.73511838919
1,1.1,0.1,0.630325814536,10.1967418546,1.73414136168
1,1.1,0.1,0.635338345865,10.1466165414,1.73316203886
1,1.1,0.1,0.640350877193,10.0964912281,1.73218042499
1,1.1,0.1,0.645363408521,10.0463659148,1.73119652438
1,1.1,0.1,0.65037593985,9.9962406015,1.73021034144
1,1.1,0.1,0.655388471178,9.94611528822,1.72922188063
1,1.1,0.1,0.660401002506,9.89598997494,1.72823114652
1,1.1,0.1,0.665413533835,9.84586466165,1.72723814374
1,1.1,0.1,0.670426065163,9.79573934837,1.72624287699
1,1.1,0.1,0.675438596491,9.74561403509,1.72524535107
1,1.1,0.1,0.68045112782,9.6954887218,1.72424557085
1,1.1,0.1,0.685463659148,9.64536340852,1.72324354127
1,1.1,0.1,0.690476190476,9.59523809524,1.72223926736
1,1.1,0.1,0.695488721805,9.54511278195,1.72123275422
1,1.1,0.1,0.700501253133,9.49498746867,1.72022400704
1,1.1,0.1,0.705513784461,9.44486215539,1.71921303109
1,1.1,0.1,0.710526315789,9.39473684211,1.71819983169
1,1.1,0.1,0.715538847118,9.34461152882,1.71718441429
1,1.1,0.1,0.720551378446,9.29448621554,1.71616678437
1,1.1,0.1,0.725563909774,9.24436090226,1.71514694753
1,1.1,0.1,0.730576441103,9.19423558897,1.71412490941
1,1.1,0.1,0.735588972431,9.14411027569,1.71310067577
1,1.1,0.1,0.740601503759,9.09398496241,1.71207425242
1,1.1,0.1,0.745614035088,9.04385964912,1.71104564526
1,1.1,0.1,0.750626566416,8.99373433584,1.71001486028
1,1.1,0.1,0.755639097744,8.94360902256,1.70898190354
1,1.1,0.1,0.760651629073,8.89348370927,1.70794678117
1,1.1,0.1,0.765664160401,8.84335839599,1.7069094994
1,1.1,0.1,0.770676691729,8.79323308271,1.70587006454
1,1.1,0.1,0.775689223058,8.74310776942,1.70482848296
1,1.1,0.1,0.780701754386,8.69298245614,1.70378476112
1,1.1,0.1,0.785714285714,8.64285714286,1.70273890558
1,1.1,0.1,0.790726817043,8.59273182957,1.70169092294
1,1.1,0.1,0.795739348371,8.54260651629,1.70064081993
1,1.1,0.1,0.800751879699,8.49248120301,1.69958860332
1,1.1,0.1,0.805764411028,8.44235588972,1.69853427997
1,1.1,0.1,0.810776942356,8.39223057644,1.69747785684
1,1.1,0.1,0.815789473684,8.34210526316,1.69641934094
1,1.1,0.1,0.820802005013,8.29197994987,1.69535873939
1,1.1,0.1,0.825814536341,8.24185463659,1.69429605937
1,1.1,0.1,0.830827067669,8.19172932331,1.69323130815
1,1.1,0.1,0.835839598997,8.14160401003,1.69216449308
1,1.1,0.1,0.840852130326,8.09147869674,1.69109562159
1,1.1,0.1,0.845864661654,8.04135338346,1.69002470118
1,1.1,0.1,0.850877192982,7.99122807018,1.68895173944
1,1.1,0.1,0.855889724311,7.94110275689,1.68787674405
1,1.1,0.1,0.860902255639,7.89097744361,1.68679972275
1,1.1,0.1,0.865914786967,7.84085213033,1.68572068337
1,1.1,0.1,0.870927318296,7.79072681704,1.68463963383
1,1.1,0.1,0.875939849624,7.74060150376,1.68355658211
1,1.1,0.1,0.880952380952,7.69047619048,1.68247153629
1,1.1,0.1,0.885964912281,7.64035087719,1.6813845045
1,1.1,0.1,0.890977443609,7.59022556391,1.68029549499
1,1.1,0.1,0.895989974937,7.54010025063,1.67920451606
1,1.1,0.1,0.901002506266,7.48997493734,1.67811157611
1,1.1,0.1,0.906015037594,7.43984962406,1.67701668359
1,1.1,0.1,0.911027568922,7.38972431078,1.67591984706
1,1.1,0.1,0.916040100251,7.33959899749,1.67482107515
1,1.1,0.1,0.921052631579,7.28947368421,1.67372037655
1,1.1,0.1,0.926065162907,7.23934837093,1.67261776007
1,1.1,0.1,0.931077694236,7.18922305764,1.67151323455
1,1.1,0.1,0.936090225564,7.13909774436,1.67040680895
1,1.1,0.1,0.941102756892,7.08897243108,1.66929849228
1,1.1,0.1,0.946115288221,7.03884711779,1.66818829365
1,1.1,0.1,0.951127819549,6.98872180451,1.66707622223
1,1.1,0.1,0.956140350877,6.93859649123,1.66596228728
1,1.1,0.1,0.961152882206,6.88847117794,1.66484649814
1,1.1,0.1,0.966165413534,6.83834586466,1.66372886421
1,1.1,0.1,0.971177944862,6.78822055138,1.66260939498
1,1.1,0.1,0.97619047619,6.7380952381,1.66148810003
1,1.1,0.1,0.981203007519,6.68796992481,1.66036498899
1,1.1,0.1,0.986215538847,6.63784461153,1.65924007159
1,1.1,0.1,0.991228070175,6.58771929825,1.65811335762
1,1.1,0.1,0.996240601504,6.53759398496,1.65698485696
1,1.1,0.1,1.00125313283,6.48746867168,1.65585457956
1,1.1,0.1,1.00626566416,6.4373433584,1.65472253544
1,1.1,0.1,1.01127819549,6.38721804511,1.65358873471
1,1.1,0.1,1.01629072682,6.33709273183,1.65245318754
1,1.1,0.1,1.02130325815,6.28696741855,1.65131590419
1,1.1,0.1,1.02631578947,6.23684210526,1.65017689498
1,1.1,0.1,1.0313283208,6.18671679198,1.64903617032
1,1.1,0.1,1.03634085213,6.1365914787,1.64789374068
1,1.1,0.1,1.04135338346,6.08646616541,1.64674961662
1,1.1,0.1,1.04636591479,6.03634085213,1.64560380876
1,1.1,0.1,1.05137844612,5.98621553885,1.64445632779
1,1.1,0.1,1.05639097744,5.93609022556,1.6433071845
1,1.1,0.1,1.06140350877,5.88596491228,1.64215638973
1,1.1,0.1,1.0664160401,5.835839599,1.64100395439
1,1.1,0.1,1.07142857143,5.78571428571,1.63984988947
1,1.1,0.1,1.07644110276,5.73558897243,1.63869420605
1,1.1,0.1,1.08145363409,5.68546365915,1.63753691524
1,1.1,0.1,1.08646616541,5.63533834586,1.63637802826
1,1.1,0.1,1.09147869674,5.58521303258,1.63521755638
1,1.1,0.1,1.09649122807,5.5350877193,1.63405551095
1,1.1,0.1,1.1015037594,5.48496240602,1.63289190339
1,1.1,0.1,1.10651629073,5.43483709273,1.63172674519
1,1.1,0.1,1.11152882206,5.38471177945,1.6305600479
1,1.1,0.1,1.11654135338,5.33458646617,1.62939182314
1,1.1,0.1,1.12155388471,5.28446115288,1.62822208262
1,1.1,0.1,1.12656641604,5.2343358396,1.6270508381
1,1.1,0.1,1.13157894737,5.18421052632,1.6258781014
1,1.1,0.1,1.1365914787,5.13408521303,1.62470388444
1,1.1,0.1,1.14160401003,5.08395989975,1.62352819916
1,1.1,0.1,1.14661654135,5.03383458647,1.62235105762
1,1.1,0.1,1.15162907268,4.98370927318,1.62117247191
1,1.1,0.1,1.15664160401,4.9335839599,1.61999245419
1,1.1,0.1,1.16165413534,4.88345864662,1.61881101669
1,1.1,0.1,1.16666666667,4.83333333333,1.61762817172
1,1.1,0.1,1.17167919799,4.78320802005,1.61644393163
1,1.1,0.1,1.17669172932,4.73308270677,1.61525830885
1,1.1,0.1,1.18170426065,4.68295739348,1.61407131587
1,1.1,0.1,1.18671679198,4.6328320802,1.61288296524
1,1.1,0.1,1.19172932331,4.58270676692,1.61169326958
1,1.1,0.1,1.19674185464,4.53258145363,1.61050224156
1,1.1,0.1,1.20175438596,4.48245614035,1.60930989392
1,1.1,0.1,1.20676691729,4.43233082707,1.60811623947
1,1.1,0.1,1.21177944862,4.38220551378,1.60692129106
1,1.1,0.1,1.21679197995,4.3320802005,1.60572506163
1,1.1,0.1,1.22180451128,4.28195488722,1.60452756414
1,1.1,0.1,1.22681704261,4.23182957393,1.60332881165
1,1.1,0.1,1.23182957393,4.18170426065,1.60212881725
1,1.1,0.1,1.23684210526,4.13157894737,1.60092759411
1,1.1,0.1,1.24185463659,4.08145363409,1.59972515543
1,1.1,0.1,1.24686716792,4.0313283208,1.5985215145
1,1.1,0.1,1.25187969925,3.98120300752,1.59731668464
1,1.1,0.1,1.25689223058,3.93107769424,1.59611067924
1,1.1,0.1,1.2619047619,3.88095238095,1.59490351175
1,1.1,0.1,1.26691729323,3.83082706767,1.59369519566
1,1.1,0.1,1.27192982456,3.78070175439,1.59248574452
1,1.1,0.1,1.27694235589,3.7305764411,1.59127517194
1,1.1,0.1,1.28195488722,3.68045112782,1.59006349159
1,1.1,0.1,1.28696741855,3.63032581454,1.58885071716
1,1.1,0.1,1.29197994987,3.58020050125,1.58763686244
1,1.1,0.1,1.2969924812,3.53007518797,1.58642194123
1,1.1,0.1,1.30200501253,3.47994987469,1.5852059674
1,1.1,0.1,1.30701754386,3.4298245614,1.58398895487
1,1.1,0.1,1.31203007519,3.37969924812,1.5827709176
1,1.1,0.1,1.31704260652,3.32957393484,1.58155186963
1,1.1,0.1,1.32205513784,3.27944862155,1.580331825
1,1.1,0.1,1.32706766917,3.22932330827,1.57911079784
1,1.1,0.1,1.3320802005,3.17919799499,1.5778888023
1,1.1,0.1,1.33709273183,3.1290726817,1.5766658526
1,1.1,0.1,1.34210526316,3.07894736842,1.57544196299
1,1.1,0.1,1.34711779449,3.02882205514,1.57421714776
1,1.1,0.1,1.35213032581,2.97869674185,1.57299142127
1,1.1,0.1,1.35714285714,2.92857142857,1.5717647979
1,1.1,0.1,1.36215538847,2.87844611529,1.57053729209
1,1.1,0.1,1.3671679198,2.82832080201,1.56930891831
1,1.1,0.1,1.37218045113,2.77819548872,1.56807969107
1,1.1,0.1,1.37719298246,2.72807017544,1.56684962494
1,1.1,0.1,1.38220551378,2.67794486216,1.56561873452
1,1.1,0.1,1.38721804511,2.62781954887,1.56438703444
1,1.1,0.1,1.39223057644,2.57769423559,1.5631545394
1,1.1,0.1,1.39724310777,2.52756892231,1.5619212641
1,1.1,0.1,1.4022556391,2.47744360902,1.5606872233
1,1.1,0.1,1.40726817043,2.42731829574,1.55945243181
1,1.1,0.1,1.41228070175,2.37719298246,1.55821690444
1,1.1,0.1,1.41729323308,2.32706766917,1.55698065608
1,1.1,0.1,1.42230576441,2.27694235589,1.55574370162
1,1.1,0.1,1.42731829574,2.22681704261,1.55450605599
1,1.1,0.1,1.43233082707,2.17669172932,1.55326773418
1,1.1,0.1,1.4373433584,2.12656641604,1.55202875119
1,1.1,0.1,1.44235588972,2.07644110276,1.55078912206
1,1.1,0.1,1.44736842105,2.02631578947,1.54954886185
1,1.1,0.1,1.45238095238,1.97619047619,1.54830798567
1,1.1,0.1,1.45739348371,1.92606516291,1.54706650864
1,1.1,0.1,1.46240601504,1.87593984962,1.54582444594
1,1.1,0.1,1.46741854637,1.82581453634,1.54458181275
1,1.1,0.1,1.47243107769,1.77568922306,1.54333862429
1,1.1,0.1,1.47744360902,1.72556390977,1.54209489581
1,1.1,0.1,1.48245614035,1.67543859649,1.54085064257
1,1.1,0.1,1.48746867168,1.62531328321,1.53960587988
1,1.1,0.1,1.49248120301,1.57518796992,1.53836062307
1,1.1,0.1,1.49749373434,1.52506265664,1.53711488747
1,1.1,0.1,1.50250626566,1.47493734336,1.53586868848
1,1.1,0.1,1.50751879699,1.42481203008,1.53462204147
1,1.1,0.1,1.51253132832,1.37468671679,1.53337496187
1,1.1,0.1,1.51754385965,1.32456140351,1.53212746512
1,1.1,0.1,1.52255639098,1.27443609023,1.53087956668
1,1.1,0.1,1.52756892231,1.22431077694,1.52963128203
1,1.1,0.1,1.53258145363,1.17418546366,1.52838262667
1,1.1,0.1,1.53759398496,1.12406015038,1.52713361611
1,1.1,0.1,1.54260651629,1.07393483709,1.5258842659
1,1.1,0.1,1.54761904762,1.02380952381,1.52463459159
1,1.1,0.1,1.55263157895,0.973684210526,1.52338460875
1,1.1,0.1,1.55764411028,0.923558897243,1.52213433296
1,1.1,0.1,1.5626566416,0.87343358396,1.52088377982
1,1.1,0.1,1.56766917293,0.823308270677,1.51963296494
1,1.1,0.1,1.57268170426,0.773182957393,1.51838190396
1,1.1,0.1,1.57769423559,0.72305764411,1.5171306125
1,1.1,0.1,1.58270676692,0.672932330827,1.51587910623
1,1.1,0.1,1.58771929825,0.622807017544,1.5146274008
1,1.1,0.1,1.59273182957,0.572681704261,1.51337551188
1,1.1,0.1,1.5977443609,0.522556390977,1.51212345515
1,1.1,0.1,1.60275689223,0.472431077694,1.5108712463
1,1.1,0.1,1.60776942356,0.422305764411,1.50961890104
1,1.1,0.1,1.61278195489,0.372180451128,1.50836643505
1,1.1,0.1,1.61779448622,0.322055137845,1.50711386405
1,1.1,0.1,1.62280701754,0.271929824561,1.50586120376
1,1.1,0.1,1.62781954887,0.221804511278,1.50460846989
1,1.1,0.1,1.6328320802,0.171679197995,1.50335567817
1,1.1,0.1,1.63784461153,0.121553884712,1.50210284432
1,1.1,0.1,1.64285714286,0.0714285714286,1.50084998407
1,1.1,0.1,1.64786967419,0.0213032581454,1.49959711315
1,1.1,0.1,1.65288220551,-0.0288220551378,1.49834424728
1,1.1,0.1,1.65789473684,-0.0789473684211,1.4970914022
1,1.1,0.1,1.66290726817,-0.129072681704,1.49583859364
1,1.1,0.1,1.6679197995,-0.179197994987,1.49458583733
1,1.1,0.1,1.67293233083,-0.229323308271,1.49333314897
1,1.1,0.1,1.67794486216,-0.279448621554,1.49208054431
1,1.1,0.1,1.68295739348,-0.329573934837,1.49082803904
1,1.1,0.1,1.68796992481,-0.37969924812,1.48957564889
1,1.1,0.1,1.69298245614,-0.429824561404,1.48832338956
1,1.1,0.1,1.69799498747,-0.479949874687,1.48707127675
1,1.1,0.1,1.7030075188,-0.53007518797,1.48581932614
1,1.1,0.1,1.70802005013,-0.580200501253,1.48456755343
1,1.1,0.1,1.71303258145,-0.630325814536,1.48331597429
1,1.1,0.1,1.71804511278,-0.68045112782,1.48206460438
1,1.1,0.1,1.72305764411,-0.730576441103,1.48081345935
1,1.1,0.1,1.72807017544,-0.780701754386,1.47956255486
1,1.1,0.1,1.73308270677,-0.830827067669,1.47831190652
1,1.1,0.1,1.7380952381,-0.880952380952,1.47706152997
1,1.1,0.1,1.74310776942,-0.931077694236,1.47581144079
1,1.1,0.1,1.74812030075,-0.981203007519,1.47456165459
1,1.1,0.1,1.75313283208,-1.0313283208,1.47331218694
1,1.1,0.1,1.75814536341,-1.08145363409,1.4720630534
1,1.1,0.1,1.76315789474,-1.13157894737,1.4708142695
1,1.1,0.1,1.76817042607,-1.18170426065,1.46956585078
1,1.1,0.1,1.77318295739,-1.23182957393,1.46831781274
1,1.1,0.1,1.77819548872,-1.28195488722,1.46707017086
1,1.1,0.1,1.78320802005,-1.3320802005,1.46582294063
1,1.1,0.1,1.78822055138,-1.38220551378,1.46457613748
1,1.1,0.1,1.79323308271,-1.43233082707,1.46332977683
1,1.1,0.1,1.79824561404,-1.48245614035,1.46208387411
1,1.1,0.1,1.80325814536,-1.53258145363,1.46083844467
1,1.1,0.1,1.80827067669,-1.58270676692,1.45959350389
1,1.1,0.1,1.81328320802,-1.6328320802,1.4583490671
1,1.1,0.1,1.81829573935,-1.68295739348,1.4571051496
1,1.1,0.1,1.82330827068,-1.73308270677,1.45586176667
1,1.1,0.1,1.82832080201,-1.78320802005,1.45461893358
1,1.1,0.1,1.83333333333,-1.83333333333,1.45337666555
1,1.1,0.1,1.83834586466,-1.88345864662,1.45213497778
1,1.1,0.1,1.84335839599,-1.9335839599,1.45089388545
1,1.1,0.1,1.84837092732,-1.98370927318,1.44965340369
1,1.1,0.1,1.85338345865,-2.03383458647,1.44841354762
1,1.1,0.1,1.85839598997,-2.08395989975,1.44717433232
1,1.1,0.1,1.8634085213,-2.13408521303,1.44593577283
1,1.1,0.1,1.86842105263,-2.18421052632,1.44469788419
1,1.1,0.1,1.87343358396,-2.2343358396,1.44346068136
1,1.1,0.1,1.87844611529,-2.28446115288,1.44222417931
1,1.1,0.1,1.88345864662,-2.33458646617,1.44098839294
1,1.1,0.1,1.88847117794,-2.38471177945,1.43975333714
1,1.1,0.1,1.89348370927,-2.43483709273,1.43851902675
1,1.1,0.1,1.8984962406,-2.48496240602,1.43728547659
1,1.1,0.1,1.90350877193,-2.5350877193,1.43605270141
1,1.1,0.1,1.90852130326,-2.58521303258,1.43482071596
1,1.1,0.1,1.91353383459,-2.63533834586,1.43358953492
1,1.1,0.1,1.91854636591,-2.68546365915,1.43235917296
1,1.1,0.1,1.92355889724,-2.73558897243,1.43112964468
1,1.1,0.1,1.92857142857,-2.78571428571,1.42990096467
1,1.1,0.1,1.9335839599,-2.835839599,1.42867314745
1,1.1,0.1,1.93859649123,-2.88596491228,1.42744620751
1,1.1,0.1,1.94360902256,-2.93609022556,1.42622015931
1,1.1,0.1,1.94862155388,-2.98621553885,1.42499501724
1,1.1,0.1,1.95363408521,-3.03634085213,1.42377079567
1,1.1,0.1,1.95864661654,-3.08646616541,1.42254750892
1,1.1,0.1,1.96365914787,-3.1365914787,1.42132517125
1,1.1,0.1,1.9686716792,-3.18671679198,1.42010379689
1,1.1,0.1,1.97368421053,-3.23684210526,1.41888340001
1,1.1,0.1,1.97869674185,-3.28696741855,1.41766399476
1,1.1,0.1,1.98370927318,-3.33709273183,1.4164455952
1,1.1,0.1,1.98872180451,-3.38721804511,1.41522821538
1,1.1,0.1,1.99373433584,-3.4373433584,1.41401186928
1,1.1,0.1,1.99874686717,-3.48746867168,1.41279657084
1,1.1,0.1,2.0037593985,-3.53759398496,1.41158233394
1,1.1,0.1,2.00877192982,-3.58771929825,1.41036917242
1,1.1,0.1,2.01378446115,-3.63784461153,1.40915710006
1,1.1,0.1,2.01879699248,-3.68796992481,1.40794613059
1,1.1,0.1,2.02380952381,-3.7380952381,1.4067362777
1,1.1,0.1,2.02882205514,-3.78822055138,1.405527555
1,1.1,0.1,2.03383458647,-3.83834586466,1.40431997606
