beta1,beta_v,regime
0.2,5.4,refrigerator
0.207615230461,5.37715430862,refrigerator
0.215230460922,5.35430861723,refrigerator
0.222845691383,5.33146292585,refrigerator
0.230460921844,5.30861723447,refrigerator
0.238076152305,5.28577154309,refrigerator
0.245691382766,5.2629258517,refrigerator
0.253306613226,5.24008016032,refrigerator
0.260921843687,5.21723446894,refrigerator
0.268537074148,5.19438877756,refrigerator
0.276152304609,5.17154308617,refrigerator
0.28376753507,5.14869739479,refrigerator
0.291382765531,5.12585170341,refrigerator
0.298997995992,5.10300601202,refrigerator
0.306613226453,5.08016032064,refrigerator
0.314228456914,5.05731462926,refrigerator
0.321843687375,5.03446893788,refrigerator
0.329458917836,5.01162324649,refrigerator
0.337074148297,4.98877755511,refrigerator
0.344689378758,4.96593186373,refrigerator
0.352304609218,4.94308617234,refrigerator
0.359919839679,4.92024048096,refrigerator
0.36753507014,4.89739478958,refrigerator
0.375150300601,4.8745490982,refrigerator
0.382765531062,4.85170340681,refrigerator
0.390380761523,4.82885771543,refrigerator
0.397995991984,4.80601202405,refrigerator
0.405611222445,4.78316633267,refrigerator
0.413226452906,4.76032064128,refrigerator
0.420841683367,4.7374749499,refrigerator
0.428456913828,4.71462925852,refrigerator
0.436072144289,4.69178356713,refrigerator
0.443687374749,4.66893787575,refrigerator
0.45130260521,4.64609218437,refrigerator
0.458917835671,4.62324649299,refrigerator
0.466533066132,4.6004008016,refrigerator
0.474148296593,4.57755511022,refrigerator
0.481763527054,4.55470941884,refrigerator
0.489378757515,4.53186372745,refrigerator
0.496993987976,4.50901803607,refrigerator
0.504609218437,4.48617234469,refrigerator
0.512224448898,4.46332665331,refrigerator
0.519839679359,4.44048096192,refrigerator
0.52745490982,4.41763527054,refrigerator
0.535070140281,4.39478957916,refrigerator
0.542685370741,4.37194388778,refrigerator
0.550300601202,4.34909819639,refrigerator
0.557915831663,4.32625250501,refrigerator
0.565531062124,4.30340681363,refrigerator
0.573146292585,4.28056112224,refrigerator
0.580761523046,4.25771543086,refrigerator
0.588376753507,4.23486973948,refrigerator
0.595991983968,4.2120240481,refrigerator
0.603607214429,4.18917835671,refrigerator
0.61122244489,4.16633266533,refrigerator
0.618837675351,4.14348697395,refrigerator
0.626452905812,4.12064128257,refrigerator
0.634068136273,4.09779559118,refrigerator
0.641683366733,4.0749498998,refrigerator
0.649298597194,4.05210420842,refrigerator
0.656913827655,4.02925851703,refrigerator
0.664529058116,4.00641282565,refrigerator
0.672144288577,3.98356713427,refrigerator
0.679759519038,3.96072144289,refrigerator
0.687374749499,3.9378757515,refrigerator
0.69498997996,3.91503006012,refrigerator
0.702605210421,3.89218436874,refrigerator
0.710220440882,3.86933867735,refrigerator
0.717835671343,3.84649298597,refrigerator
0.725450901804,3.82364729459,refrigerator
0.733066132265,3.80080160321,refrigerator
0.740681362725,3.77795591182,refrigerator
0.748296593186,3.75511022044,refrigerator
0.755911823647,3.73226452906,refrigerator
0.763527054108,3.70941883768,refrigerator
0.771142284569,3.68657314629,refrigerator
0.77875751503,3.66372745491,refrigerator
0.786372745491,3.64088176353,refrigerator
0.793987975952,3.61803607214,refrigerator
0.801603206413,3.59519038076,refrigerator
0.809218436874,3.57234468938,refrigerator
0.816833667335,3.549498998,refrigerator
0.824448897796,3.52665330661,refrigerator
0.832064128257,3.50380761523,refrigerator
0.839679358717,3.48096192385,refrigerator
0.847294589178,3.45811623246,refrigerator
0.854909819639,3.43527054108,refrigerator
0.8625250501,3.4124248497,refrigerator
0.870140280561,3.38957915832,refrigerator
0.877755511022,3.36673346693,refrigerator
0.885370741483,3.34388777555,refrigerator
0.892985971944,3.32104208417,refrigerator
0.900601202405,3.29819639279,refrigerator
0.908216432866,3.2753507014,refrigerator
0.915831663327,3.25250501002,refrigerator
0.923446893788,3.22965931864,refrigerator
0.931062124248,3.20681362725,refrigerator
0.938677354709,3.18396793587,refrigerator
0.94629258517,3.16112224449,refrigerator
0.953907815631,3.13827655311,refrigerator
0.961523046092,3.11543086172,refrigerator
0.969138276553,3.09258517034,refrigerator
0.976753507014,3.06973947896,refrigerator
0.984368737475,3.04689378758,refrigerator
0.991983967936,3.02404809619,refrigerator
0.999599198397,3.00120240481,refrigerator
1.00721442886,2.97835671343,refrigerator
1.01482965932,2.95551102204,refrigerator
1.02244488978,2.93266533066,refrigerator
1.03006012024,2.90981963928,refrigerator
1.0376753507,2.8869739479,refrigerator
1.04529058116,2.86412825651,refrigerator
1.05290581162,2.84128256513,refrigerator
1.06052104208,2.81843687375,refrigerator
1.06813627255,2.79559118236,refrigerator
1.07575150301,2.77274549098,refrigerator
1.08336673347,2.7498997996,refrigerator
1.09098196393,2.72705410822,refrigerator
1.09859719439,2.70420841683,refrigerator
1.10621242485,2.68136272545,refrigerator
1.11382765531,2.65851703407,refrigerator
1.12144288577,2.63567134269,refrigerator
1.12905811623,2.6128256513,refrigerator
1.13667334669,2.58997995992,refrigerator
1.14428857715,2.56713426854,refrigerator
1.15190380762,2.54428857715,refrigerator
1.15951903808,2.52144288577,refrigerator
1.16713426854,2.49859719439,refrigerator
1.174749499,2.47575150301,refrigerator
1.18236472946,2.45290581162,refrigerator
1.18997995992,2.43006012024,refrigerator
1.19759519038,2.40721442886,refrigerator
1.20521042084,2.38436873747,refrigerator
1.2128256513,2.36152304609,refrigerator
1.22044088176,2.33867735471,refrigerator
1.22805611222,2.31583166333,refrigerator
1.23567134269,2.29298597194,refrigerator
1.24328657315,2.27014028056,refrigerator
1.25090180361,2.24729458918,refrigerator
1.25851703407,2.2244488978,refrigerator
1.26613226453,2.20160320641,refrigerator
1.27374749499,2.17875751503,refrigerator
1.28136272545,2.15591182365,refrigerator
1.28897795591,2.13306613226,refrigerator
1.29659318637,2.11022044088,refrigerator
1.30420841683,2.0873747495,refrigerator
1.31182364729,2.06452905812,refrigerator
1.31943887776,2.04168336673,refrigerator
1.32705410822,2.01883767535,refrigerator
1.33466933868,1.99599198397,refrigerator
1.34228456914,1.97314629259,refrigerator
1.3498997996,1.9503006012,refrigerator
1.35751503006,1.92745490982,refrigerator
1.36513026052,1.90460921844,refrigerator
1.37274549098,1.88176352705,refrigerator
1.38036072144,1.85891783567,refrigerator
1.3879759519,1.83607214429,refrigerator
1.39559118236,1.81322645291,refrigerator
1.40320641283,1.79038076152,refrigerator
1.41082164329,1.76753507014,refrigerator
1.41843687375,1.74468937876,refrigerator
1.42605210421,1.72184368737,refrigerator
1.43366733467,1.69899799599,refrigerator
1.44128256513,1.67615230461,refrigerator
1.44889779559,1.65330661323,refrigerator
1.45651302605,1.63046092184,refrigerator
1.46412825651,1.60761523046,refrigerator
1.47174348697,1.58476953908,refrigerator
1.47935871743,1.5619238477,refrigerator
1.4869739479,1.53907815631,refrigerator
1.49458917836,1.51623246493,refrigerator
1.50220440882,1.49338677355,heat_pump
1.50981963928,1.47054108216,heat_pump
1.51743486974,1.44769539078,heat_pump
1.5250501002,1.4248496994,heat_pump
1.53266533066,1.40200400802,heat_pump
1.54028056112,1.37915831663,heat_pump
1.54789579158,1.35631262525,heat_pump
1.55551102204,1.33346693387,heat_pump
1.56312625251,1.31062124248,heat_pump
1.57074148297,1.2877755511,heat_pump
1.57835671343,1.26492985972,heat_pump
1.58597194389,1.24208416834,heat_pump
1.59358717435,1.21923847695,heat_pump
1.60120240481,1.19639278557,heat_pump
1.60881763527,1.17354709419,heat_pump
1.61643286573,1.15070140281,heat_pump
1.62404809619,1.12785571142,heat_pump
1.63166332665,1.10501002004,heat_pump
1.63927855711,1.08216432866,heat_pump
1.64689378758,1.05931863727,heat_pump
1.65450901804,1.03647294589,heat_pump
1.6621242485,1.01362725451,heat_pump
1.66973947896,0.990781563126,heat_pump
1.67735470942,0.967935871743,heat_pump
1.68496993988,0.945090180361,heat_pump
1.69258517034,0.922244488978,heat_pump
1.7002004008,0.899398797595,heat_pump
1.70781563126,0.876553106212,heat_pump
1.71543086172,0.85370741483,heat_pump
1.72304609218,0.830861723447,heat_pump
1.73066132265,0.808016032064,heat_pump
1.73827655311,0.785170340681,heat_pump
1.74589178357,0.762324649299,heat_pump
1.75350701403,0.739478957916,heat_pump
1.76112224449,0.716633266533,heat_pump
1.76873747495,0.69378757515,heat_pump
1.77635270541,0.670941883768,heat_pump
1.78396793587,0.648096192385,heat_pump
1.79158316633,0.625250501002,heat_pump
1.79919839679,0.602404809619,heat_pump
1.80681362725,0.579559118236,heat_pump
1.81442885772,0.556713426854,heat_pump
1.82204408818,0.533867735471,heat_pump
1.82965931864,0.511022044088,heat_pump
1.8372745491,0.488176352705,heat_pump
1.84488977956,0.465330661323,heat_pump
1.85250501002,0.44248496994,heat_pump
1.86012024048,0.419639278557,heat_pump
1.86773547094,0.396793587174,heat_pump
1.8753507014,0.373947895792,heat_pump
1.88296593186,0.351102204409,heat_pump
1.89058116232,0.328256513026,heat_pump
1.89819639279,0.305410821643,heat_pump
1.90581162325,0.282565130261,heat_pump
1.91342685371,0.259719438878,heat_pump
1.92104208417,0.236873747495,heat_pump
1.92865731463,0.214028056112,heat_pump
1.93627254509,0.191182364729,heat_pump
1.94388777555,0.168336673347,heat_pump
1.95150300601,0.145490981964,heat_pump
1.95911823647,0.122645290581,heat_pump
1.96673346693,0.0997995991984,heat_pump
1.97434869739,0.0769539078156,heat_pump
1.98196392786,0.0541082164329,heat_pump
1.98957915832,0.0312625250501,heat_pump
1.99719438878,0.00841683366733,heat_pump
2.00480961924,-0.0144288577154,heat_engine
2.0124248497,-0.0372745490982,heat_engine
2.02004008016,-0.060120240481,heat_engine
2.02765531062,-0.0829659318637,heat_engine
2.03527054108,-0.105811623246,heat_engine
2.04288577154,-0.128657314629,heat_engine
2.050501002,-0.151503006012,heat_engine
2.05811623246,-0.174348697395,heat_engine
2.06573146293,-0.197194388778,heat_engine
2.07334669339,-0.22004008016,heat_engine
2.08096192385,-0.242885771543,heat_engine
2.08857715431,-0.265731462926,heat_engine
2.09619238477,-0.288577154309,heat_engine
