dt,memory_time,svd_tolerance,t_end,final_sigma_z,drift_from_first,step_drift,pass_tolerance,passes_step_tolerance,elapsed_seconds
0.25,0.5,0.0001,1.0,0.7095019813620533,0.0,0.0,0.001,False,0.1123791389982216
0.2,0.6,1e-05,1.0,0.7061297557471558,0.0033722256148975838,0.0033722256148975838,0.001,False,0.2717528869980015
0.1,0.8,1e-05,1.0,0.7018957414376852,0.007606239924368152,0.0042340143094705684,0.001,False,0.7500559749969398
