dt,memory_time,svd_tolerance,t_end,final_sigma_z,drift_from_first,elapsed_seconds
0.25,0.5,0.0001,0.75,0.7846208151560359,0.0,0.15431791400624206
0.2,0.6,1e-05,0.8,0.7667590703525239,0.017861744803511992,0.200926838995656
0.15,0.75,1e-05,0.9,0.7337000602598457,0.05092075489619019,0.49638725299882935
