regime,zeta,time,trace,hermiticity_error,purity,sigma_z,excited_population
sub_ohmic,0.5,0.0,1.0,0.0,1.0,1.0,0.0
sub_ohmic,0.5,0.1,1.0000000000000004,0.0,0.9853940914241972,0.9852858381446439,0.007357080927678061
sub_ohmic,0.5,0.2,1.0000000000000009,1.1829095365600273e-15,0.9488124377079972,0.947430670506287,0.02628466474685648
sub_ohmic,0.5,0.30000000000000004,1.0000000000000024,1.306450211458928e-15,0.90137384183235,0.8959618762339696,0.052019061883015194
sub_ohmic,0.5,0.4,0.999999976857256,5.901543277706848e-15,0.8500066077021052,0.8366679518720065,0.08166602406399676
sub_ohmic,0.5,0.5,0.9999998677380367,6.771414317750596e-15,0.7986394768000292,0.7728384165684102,0.11358079171579488
sub_ohmic,0.5,0.6000000000000001,0.9999997800095869,2.0513419238870876e-15,0.7497139629929551,0.7067024592901089,0.14664877035494556
sub_ohmic,0.5,0.7000000000000001,0.999999687561931,2.8435197443382583e-15,0.7047934419342101,0.6399902411322069,0.18000487943389654
sub_ohmic,0.5,0.8,0.9999995199706303,4.307777767536894e-15,0.6648035613143869,0.5741150430769802,0.21294247846150988
sub_ohmic,0.5,0.9,0.9999991376272688,3.8191162304618894e-15,0.6301658991143642,0.510228892727026,0.244885553636487
sub_ohmic,0.5,1.0,0.9999983118205364,6.49750253456037e-15,0.6009070323010676,0.44924096090874466,0.27537951954562767
sub_ohmic,0.5,1.1,0.999997173087195,1.008161304470877e-14,0.5767691858748606,0.39184694150565963,0.3040765292471702
sub_ohmic,0.5,1.2000000000000002,0.9999967491021023,5.1219951324894006e-15,0.5572985574006961,0.3385315592180723,0.33073422039096384
sub_ohmic,0.5,1.3,0.999996289002492,1.7865768558899862e-12,0.541922671185688,0.2895734178971208,0.3552132910514396
sub_ohmic,0.5,1.4000000000000001,0.9999962778512672,3.758043159883145e-12,0.5300577283039857,0.24519971633666865,0.3774001418316657
sub_ohmic,0.5,1.5,0.9999965786451865,2.5829915185158234e-12,0.5209761967793349,0.20483953782519243,0.3975802310874038
sub_ohmic,0.5,1.6,0.9999972820919776,2.7628852736067127e-12,0.5141151305297251,0.16803480850138258,0.41598259574930874
sub_ohmic,0.5,1.7000000000000002,0.9999980906356957,4.67344330644113e-10,0.5090278565504774,0.13438575752627735,0.4328071212368613
sub_ohmic,0.5,1.8,0.9999986927687029,4.281711775885231e-09,0.5053615490577432,0.1035650161798557,0.44821749191007215
sub_ohmic,0.5,1.9000000000000001,0.9999991592151716,1.899277661144135e-08,0.5028336941412954,0.07529322580093817,0.4623533870995309
sub_ohmic,0.5,2.0,0.9999994330707047,2.103098258156582e-08,0.5012164325009725,0.04933557398113836,0.47533221300943085
sub_ohmic,0.5,2.1,0.9999994866381929,2.4935028684895413e-08,0.5003243220240357,0.025488640032230725,0.48725567998388464
sub_ohmic,0.5,2.2,0.9999993759117627,1.0049045759072898e-07,0.500005774274199,0.0035772503306825687,0.4982113748346587
sub_ohmic,0.5,2.3000000000000003,0.9999991466565217,9.151826888492357e-08,0.5001362079391236,-0.016556647116152012,0.508278323558076
sub_ohmic,0.5,2.4000000000000004,0.9999985885914345,5.403745571128164e-08,0.5006130005629978,-0.03505458514279092,0.5175272925713954
sub_ohmic,0.5,2.5,0.999998125595841,6.817803721412353e-08,0.5013526480781094,-0.05204848654298733,0.5260242432714937
sub_ohmic,0.5,2.6,0.999997660522016,1.1163916769344821e-07,0.5022864995703391,-0.06765854031347857,0.5338292701567393
sub_ohmic,0.5,2.7,0.9999971573927555,1.174622634768915e-07,0.5033587999005522,-0.08199564010475036,0.5409978200523752
sub_ohmic,0.5,2.8000000000000003,0.9999969353200425,2.1932326691346137e-07,0.5045249821705897,-0.09516351024423264,0.5475817551221163
sub_ohmic,0.5,2.9000000000000004,0.9999972744620906,5.01073723158251e-07,0.50574967078277,-0.10726039635179885,0.5536301981758994
sub_ohmic,0.5,3.0,0.9999979188820105,4.4765053095570715e-07,0.5070038275865172,-0.11837152273852691,0.5591857613692635
ohmic,1.0,0.0,1.0,0.0,1.0,1.0,0.0
ohmic,1.0,0.1,1.0000000000000004,0.0,0.9877311706911018,0.9876549708183535,0.0061725145908232415
ohmic,1.0,0.2,1.0000000000000013,1.4959538235501031e-15,0.9605754253416837,0.9597660395551432,0.020116980222428416
ohmic,1.0,0.30000000000000004,0.9999993954156547,6.667421631238003e-08,0.9299502969534565,0.9273089038043889,0.03634554809780555
ohmic,1.0,0.4,0.9999994119311513,6.666268193095028e-08,0.8997532912651269,0.8941519773882207,0.05292401130588964
ohmic,1.0,0.5,0.9999994420253469,6.665360252985223e-08,0.8707929367559997,0.8611544515710605,0.06942277421446974
ohmic,1.0,0.6000000000000001,0.9999993190714445,6.65989864596186e-08,0.8431758830861036,0.8284643191040364,0.0857678404479818
ohmic,1.0,0.7000000000000001,0.9999991635404123,6.646326769062358e-08,0.8168999180246849,0.7961165172055576,0.10194174139722118
ohmic,1.0,0.8,0.9999992122557394,6.621931397523335e-08,0.7919583968679268,0.7641455157386307,0.11792724213068467
ohmic,1.0,0.9,0.9999991588523813,6.584786481387876e-08,0.768356792746923,0.7326085365241484,0.13369573173792582
ohmic,1.0,1.0,0.9999987220992708,6.533654545995514e-08,0.7460938755975792,0.7015627605530015,0.14921861972349926
ohmic,1.0,1.1,0.9999978824674325,6.467796112127017e-08,0.7251616831386353,0.6710645284454342,0.1644677357772829
ohmic,1.0,1.2000000000000002,0.999996711672926,6.387010949132109e-08,0.7055413631427901,0.6411624621955998,0.1794187689022001
ohmic,1.0,1.3,0.9999952931808673,6.291593999369972e-08,0.6872034553218932,0.6118956808637612,0.1940521595681194
ohmic,1.0,1.4000000000000001,0.9999943636622655,6.182347328446341e-08,0.6702003741904209,0.5834483876268683,0.20827580618656583
ohmic,1.0,1.5,0.9999934890250485,6.060336659097947e-08,0.654449317345957,0.5557982157215656,0.2221008921392172
ohmic,1.0,1.6,0.999992606966397,5.92729627122573e-08,0.6398729197397833,0.5289240262003371,0.23553798689983146
ohmic,1.0,1.7000000000000002,0.9999917246512815,5.785313450360086e-08,0.6263973221855595,0.5028033363054973,0.24859833184725133
ohmic,1.0,1.8,0.9999908433963233,5.63675935571547e-08,0.6139533912434305,0.47741501401845576,0.2612924929907721
ohmic,1.0,1.9000000000000001,0.9999899674502142,5.484264753546914e-08,0.6024761496813529,0.4527387374209644,0.2736306312895178
ohmic,1.0,2.0,0.9999891289043377,5.330645051550605e-08,0.5919043073623554,0.4287544248141509,0.2856227875929246
ohmic,1.0,2.1,0.9999883089145924,5.1788218602209016e-08,0.5821802414197765,0.40544280098874563,0.2972785995056272
ohmic,1.0,2.2,0.9999874964939389,5.0317251410943994e-08,0.5732496209784791,0.38278485969616105,0.3086075701519195
ohmic,1.0,2.3000000000000003,0.9999866896195929,4.892182416026254e-08,0.5650613900294746,0.3607622494698123,0.31961887526509386
ohmic,1.0,2.4000000000000004,0.9999858871427384,4.7627928748729736e-08,0.5575675004095302,0.3393570779198446,0.3303214610400777
ohmic,1.0,2.5,0.9999851162908654,4.645798384780535e-08,0.5507229846201931,0.3185525646372579,0.34072371768137105
ohmic,1.0,2.6,0.9999843024693815,4.5429447498969986e-08,0.5444849120713995,0.298330720774054,0.350834639612973
ohmic,1.0,2.7,0.9999834837553863,4.455381577339541e-08,0.5388136238489204,0.2786759406805979,0.36066202965970107
ohmic,1.0,2.8000000000000003,0.9999826989523561,4.383566246890185e-08,0.5336718383336293,0.2595732622268798,0.3702133688865601
ohmic,1.0,2.9000000000000004,0.9999819413433695,4.327242508850742e-08,0.5290239565568129,0.24100628643365285,0.3794968567831736
ohmic,1.0,3.0,0.9999811588391183,4.285453471289986e-08,0.5248363764393233,0.222958370205796,0.388520814897102
super_ohmic,3.0,0.0,1.0,0.0,1.0,1.0,0.0
super_ohmic,3.0,0.1,1.0000000000000004,3.925231146709438e-17,0.9504969163670371,0.9492069493709332,0.025396525314533402
super_ohmic,3.0,0.2,1.0000000000000002,2.4273328005344853e-16,0.9022920058211865,0.8969860710414475,0.051506964479276274
super_ohmic,3.0,0.30000000000000004,0.9999999999999998,1.3167992510565076e-15,0.8843581927060935,0.8767647263731517,0.06161763681342414
super_ohmic,3.0,0.4,0.9999999755961078,1.0361143777197502e-15,0.8776958192519645,0.8691327213445095,0.06543363932774526
super_ohmic,3.0,0.5,0.9999998785861078,3.3403117429085887e-15,0.8744070100474144,0.8653405473699926,0.06732972631500372
super_ohmic,3.0,0.6000000000000001,0.9999996825216924,2.4404396653109638e-15,0.8721967163476902,0.8627827464964137,0.06860862675179313
super_ohmic,3.0,0.7000000000000001,0.9999992880355166,2.0962225785843926e-15,0.8703966313554964,0.8606943049883928,0.06965284750580358
super_ohmic,3.0,0.8,0.9999990466556499,8.801117184478857e-15,0.868797142372892,0.8588342048577102,0.07058289757114489
super_ohmic,3.0,0.9,0.9999982944534294,8.727870834938204e-15,0.867322352987436,0.8571161631104061,0.07144191844479697
super_ohmic,3.0,1.0,0.999997445682538,1.2258899244109997e-14,0.8659387208739702,0.8555013444620294,0.0722493277689853
super_ohmic,3.0,1.1,0.9999970902844901,1.7265314548357135e-14,0.8646272274413228,0.8539673730917352,0.0730163134541324
super_ohmic,3.0,1.2000000000000002,0.9999966782160303,8.177308605126601e-14,0.8633718105818768,0.8524964895650062,0.07375175521749688
super_ohmic,3.0,1.3,0.9999962277268928,2.0945756376487637e-12,0.8621608948374437,0.8510753986615238,0.07446230066923809
