regime,zeta,time,trace,hermiticity_error,purity,sigma_z,excited_population
ohmic,1.0,0.0,1.0,0.0,1.0,1.0,0.0
ohmic,1.0,0.2,1.0000000000000004,3.925231146709439e-17,0.9618496723706834,0.9610927867492118,0.019453606625394082
ohmic,1.0,0.4,1.0000000000000018,5.578864145920563e-16,0.9016570322482045,0.8962778946824504,0.051861052658774776
ohmic,1.0,0.6000000000000001,1.0000007344592214,5.257594004181636e-15,0.845211048460605,0.830915536021699,0.08454223198915051
ohmic,1.0,0.8,0.9999998888697255,2.847631637144331e-15,0.7939596248536632,0.7667590703525216,0.11662046482373922
