architecture,chain_length,time,method,max_required_bond_dimension,max_bond_entropy_bits,raw_tensor_parameter_count
direct,2,2.6666666666666665,graph_optimized_mps,11,0.8265879243599522,702
direct,2,2.6666666666666665,factor_tree_ttn,6,0.7156098123955579,420
direct,2,3.333333333333333,interleaved_mps,16,1.0851367421250755,1192
direct,2,3.333333333333333,graph_optimized_mps,12,0.9736881651234148,776
direct,2,3.333333333333333,factor_tree_ttn,7,0.8692261361422432,514
direct,2,4.0,interleaved_mps,16,1.2254182252193728,1192
direct,2,4.0,graph_optimized_mps,13,1.161390146600357,848
direct,2,4.0,factor_tree_ttn,8,0.9670997005669542,692
passive_buffer,2,0.0,interleaved_mps,1,-0.0,20
passive_buffer,2,0.0,graph_optimized_mps,1,-0.0,20
passive_buffer,2,0.0,factor_tree_ttn,1,-0.0,21
passive_buffer,2,0.6666666666666666,interleaved_mps,11,0.2055250022452516,888
passive_buffer,2,0.6666666666666666,graph_optimized_mps,7,0.1720150349264471,336
passive_buffer,2,0.6666666666666666,factor_tree_ttn,4,0.1074904457382058,202
passive_buffer,2,1.3333333333333333,interleaved_mps,19,0.5586353898121326,1680
passive_buffer,2,1.3333333333333333,graph_optimized_mps,8,0.44862995764402364,560
passive_buffer,2,1.3333333333333333,factor_tree_ttn,4,0.30642253046969303,252
passive_buffer,2,2.0,interleaved_mps,24,0.8449746136157075,2152
passive_buffer,2,2.0,graph_optimized_mps,8,0.6772611283443931,608
passive_buffer,2,2.0,factor_tree_ttn,6,0.5229957853689566,408
passive_buffer,2,2.6666666666666665,interleaved_mps,28,0.9972321413081833,2472
passive_buffer,2,2.6666666666666665,graph_optimized_mps,12,0.8374308324376143,902
passive_buffer,2,2.6666666666666665,factor_tree_ttn,6,0.7207976902813339,472
passive_buffer,2,3.333333333333333,interleaved_mps,30,1.1013605419283963,2600
passive_buffer,2,3.333333333333333,graph_optimized_mps,14,0.9903437904485887,1116
passive_buffer,2,3.333333333333333,factor_tree_ttn,8,0.8758409901759797,644
passive_buffer,2,4.0,interleaved_mps,29,1.2487379462882324,2462
passive_buffer,2,4.0,graph_optimized_mps,15,1.1851875090351154,1254
passive_buffer,2,4.0,factor_tree_ttn,10,0.9725472097610106,848
floquet_buffer,2,0.0,interleaved_mps,1,-0.0,20
floquet_buffer,2,0.0,graph_optimized_mps,1,-0.0,20
floquet_buffer,2,0.0,factor_tree_ttn,1,-0.0,21
floquet_buffer,2,0.6666666666666666,interleaved_mps,11,0.2055244304696162,888
floquet_buffer,2,0.6666666666666666,graph_optimized_mps,7,0.1720144619307439,336
floquet_buffer,2,0.6666666666666666,factor_tree_ttn,4,0.10749007909368596,202
floquet_buffer,2,1.3333333333333333,interleaved_mps,19,0.5585708543635783,1680
floquet_buffer,2,1.3333333333333333,graph_optimized_mps,8,0.4485647225147858,560
floquet_buffer,2,1.3333333333333333,factor_tree_ttn,4,0.30638315528579546,252
floquet_buffer,2,2.0,interleaved_mps,24,0.8443216248468053,2152
floquet_buffer,2,2.0,graph_optimized_mps,9,0.6765933810730639,640
floquet_buffer,2,2.0,factor_tree_ttn,6,0.5226374662859219,408
floquet_buffer,2,2.6666666666666665,interleaved_mps,28,0.9948872174772497,2472
floquet_buffer,2,2.6666666666666665,graph_optimized_mps,12,0.8350240464980841,902
floquet_buffer,2,2.6666666666666665,factor_tree_ttn,6,0.719713438688059,472
floquet_buffer,2,3.333333333333333,interleaved_mps,30,1.0966700380557546,2524
floquet_buffer,2,3.333333333333333,graph_optimized_mps,13,0.9855628118444704,1070
floquet_buffer,2,3.333333333333333,factor_tree_ttn,8,0.8741783493783764,644
floquet_buffer,2,4.0,interleaved_mps,28,1.2415251189137595,2400
floquet_buffer,2,4.0,graph_optimized_mps,16,1.1778569236751655,1304
floquet_buffer,2,4.0,factor_tree_ttn,9,0.9709085501314572,786
direct,3,0.0,interleaved_mps,1,-0.0,24
direct,3,0.0,graph_optimized_mps,1,-0.0,24
direct,3,0.0,factor_tree_ttn,1,-0.0,25
direct,3,0.6666666666666666,interleaved_mps,11,0.20532734135594627,1372
direct,3,0.6666666666666666,graph_optimized_mps,6,0.1718168224409156,442
direct,3,0.6666666666666666,factor_tree_ttn,4,0.1074066448975905,238
direct,3,1.3333333333333333,interleaved_mps,23,0.5567840336018828,3296
direct,3,1.3333333333333333,graph_optimized_mps,11,0.4467517574633615,888
direct,3,1.3333333333333333,factor_tree_ttn,4,0.3055652046607183,316
direct,3,2.0,interleaved_mps,30,0.8394534738689321,5404
direct,3,2.0,graph_optimized_mps,12,0.6715663667635104,1120
direct,3,2.0,factor_tree_ttn,6,0.5202248786238296,516
direct,3,2.6666666666666665,interleaved_mps,40,0.9868038228230062,6886
direct,3,2.6666666666666665,graph_optimized_mps,15,0.8266466571740022,1506
direct,3,2.6666666666666665,factor_tree_ttn,6,0.715609452654633,576
direct,3,3.333333333333333,interleaved_mps,44,1.0854428370295532,7572
direct,3,3.333333333333333,graph_optimized_mps,17,0.9740373771063747,2060
direct,3,3.333333333333333,factor_tree_ttn,8,0.8692236509534375,928
direct,3,4.0,interleaved_mps,45,1.2260763775503387,7808
direct,3,4.0,graph_optimized_mps,19,1.1620559888909927,2328
direct,3,4.0,factor_tree_ttn,10,0.967093816793797,1404
passive_buffer,3,0.0,interleaved_mps,1,-0.0,26
passive_buffer,3,0.0,graph_optimized_mps,1,-0.0,26
passive_buffer,3,0.0,factor_tree_ttn,1,-0.0,27
passive_buffer,3,0.6666666666666666,interleaved_mps,11,0.20552500207339314,1614
passive_buffer,3,0.6666666666666666,graph_optimized_mps,7,0.17201503511011654,498
passive_buffer,3,0.6666666666666666,factor_tree_ttn,4,0.1074904457382834,256
passive_buffer,3,1.3333333333333333,interleaved_mps,24,0.558635334026506,4344
passive_buffer,3,1.3333333333333333,graph_optimized_mps,11,0.44863007725158127,986
passive_buffer,3,1.3333333333333333,factor_tree_ttn,4,0.3064225305809089,348
passive_buffer,3,2.0,interleaved_mps,32,0.8449750718986705,7444
passive_buffer,3,2.0,graph_optimized_mps,13,0.6772658036226674,1224
passive_buffer,3,2.0,factor_tree_ttn,6,0.5229957864205622,504
passive_buffer,3,2.6666666666666665,interleaved_mps,42,0.9972663415831756,10486
passive_buffer,3,2.6666666666666665,graph_optimized_mps,15,0.837489582831903,1806
passive_buffer,3,2.6666666666666665,factor_tree_ttn,6,0.7207976025891576,626
passive_buffer,3,3.333333333333333,interleaved_mps,48,1.1016667870305326,12052
passive_buffer,3,3.333333333333333,graph_optimized_mps,18,0.9906922135543245,2406
passive_buffer,3,3.333333333333333,factor_tree_ttn,8,0.8758400696003962,932
passive_buffer,3,4.0,interleaved_mps,50,1.2493939233238334,12628
passive_buffer,3,4.0,graph_optimized_mps,20,1.1858475714592842,2848
passive_buffer,3,4.0,factor_tree_ttn,10,0.9725450843505177,1494
floquet_buffer,3,0.0,interleaved_mps,1,-0.0,26
floquet_buffer,3,0.0,graph_optimized_mps,1,-0.0,26
floquet_buffer,3,0.0,factor_tree_ttn,1,-0.0,27
floquet_buffer,3,0.6666666666666666,interleaved_mps,11,0.2055244302977549,1614
floquet_buffer,3,0.6666666666666666,graph_optimized_mps,7,0.17201446211441326,498
floquet_buffer,3,0.6666666666666666,factor_tree_ttn,4,0.10749007909376342,256
floquet_buffer,3,1.3333333333333333,interleaved_mps,24,0.5585707985763404,4344
floquet_buffer,3,1.3333333333333333,graph_optimized_mps,11,0.4485648421222622,986
floquet_buffer,3,1.3333333333333333,factor_tree_ttn,4,0.3063831553967615,348
floquet_buffer,3,2.0,interleaved_mps,31,0.8443220829918878,7324
floquet_buffer,3,2.0,graph_optimized_mps,13,0.6765980568094171,1266
floquet_buffer,3,2.0,factor_tree_ttn,6,0.522637467375221,504
floquet_buffer,3,2.6666666666666665,interleaved_mps,43,0.9949214312771179,10630
floquet_buffer,3,2.6666666666666665,graph_optimized_mps,16,0.8350828322801145,1854
floquet_buffer,3,2.6666666666666665,factor_tree_ttn,6,0.7197133556051833,626
floquet_buffer,3,3.333333333333333,interleaved_mps,48,1.0969766466214044,12052
floquet_buffer,3,3.333333333333333,graph_optimized_mps,18,0.985911702311417,2348
floquet_buffer,3,3.333333333333333,factor_tree_ttn,8,0.8741775082438294,1000
floquet_buffer,3,4.0,interleaved_mps,51,1.2421825681094436,12782
floquet_buffer,3,4.0,graph_optimized_mps,21,1.1785189208941893,3022
floquet_buffer,3,4.0,factor_tree_ttn,10,0.97090716101316,1400
direct,4,0.0,interleaved_mps,1,-0.0,30
direct,4,0.0,graph_optimized_mps,1,-0.0,30
direct,4,0.0,factor_tree_ttn,1,-0.0,31
direct,4,0.6666666666666666,interleaved_mps,11,0.20532734135594385,1862
direct,4,0.6666666666666666,graph_optimized_mps,6,0.17181682244091634,532
direct,4,0.6666666666666666,factor_tree_ttn,4,0.1074066448975905,262
direct,4,1.3333333333333333,interleaved_mps,23,0.5567840335977532,5696
direct,4,1.3333333333333333,graph_optimized_mps,11,0.4467517574687845,1320
direct,4,1.3333333333333333,factor_tree_ttn,4,0.3055652046607162,412
direct,4,2.0,interleaved_mps,30,0.8394534736159283,10404
direct,4,2.0,graph_optimized_mps,12,0.6715663678962902,1728
direct,4,2.0,factor_tree_ttn,6,0.5202248786221167,612
direct,4,2.6666666666666665,interleaved_mps,42,0.9868038383705465,15940
direct,4,2.6666666666666665,graph_optimized_mps,15,0.8266467066350466,2400
direct,4,2.6666666666666665,factor_tree_ttn,6,0.7156094525208169,726
direct,4,3.333333333333333,interleaved_mps,53,1.0854434312622343,21722
direct,4,3.333333333333333,graph_optimized_mps,20,0.974038205477088,3542
direct,4,3.333333333333333,factor_tree_ttn,8,0.8692236482919274,1104
direct,4,4.0,interleaved_mps,61,1.2260798667389505,24984
direct,4,4.0,graph_optimized_mps,23,1.162060013568657,4332
direct,4,4.0,factor_tree_ttn,10,0.967093800837217,1702
passive_buffer,4,0.0,interleaved_mps,1,-0.0,32
passive_buffer,4,0.0,graph_optimized_mps,1,-0.0,32
passive_buffer,4,0.0,factor_tree_ttn,1,-0.0,33
passive_buffer,4,0.6666666666666666,interleaved_mps,11,0.20552500207339208,2104
passive_buffer,4,0.6666666666666666,graph_optimized_mps,7,0.17201503511011673,578
passive_buffer,4,0.6666666666666666,factor_tree_ttn,4,0.10749044573828336,280
