architecture,chain_length,physical_vertices,primal_edges,cycle_rank,primal_treewidth_upper_bound,factor_treewidth,ordering,cutwidth,bandwidth,total_edge_span,log2_edge_boundary_proxy
passive_buffer,9,31,31,1,2,1,graph_optimized_mps,3,2,50,3
passive_buffer,9,31,31,1,2,1,factor_tree_ttn,1,1,31,1
floquet_buffer,9,31,31,1,2,1,interleaved_mps,4,4,88,4
floquet_buffer,9,31,31,1,2,1,graph_optimized_mps,3,2,50,3
floquet_buffer,9,31,31,1,2,1,factor_tree_ttn,1,1,31,1
direct,10,33,33,1,2,1,interleaved_mps,4,3,94,4
direct,10,33,33,1,2,1,graph_optimized_mps,3,2,54,3
direct,10,33,33,1,2,1,factor_tree_ttn,1,1,33,1
passive_buffer,10,34,34,1,2,1,interleaved_mps,4,4,97,4
passive_buffer,10,34,34,1,2,1,graph_optimized_mps,3,2,55,3
passive_buffer,10,34,34,1,2,1,factor_tree_ttn,1,1,34,1
floquet_buffer,10,34,34,1,2,1,interleaved_mps,4,4,97,4
floquet_buffer,10,34,34,1,2,1,graph_optimized_mps,3,2,55,3
floquet_buffer,10,34,34,1,2,1,factor_tree_ttn,1,1,34,1
