point_id,beta1,beta_out,beta_threshold,margin_from_threshold,confidence_score,logic_output,logic_output_bit
0,0.5,0.1525599551486247,0.1525599452124234,9.936201306182113e-09,0.5000000006983447,1,1
1,0.5714285714285714,0.152559952053489,0.1525599452124234,6.8410656028916605e-09,0.34424954777184946,1,1
2,0.6428571428571428,0.15255994964660172,0.1525599452124234,4.434178330070537e-09,0.22313247284477053,1,1
3,0.7142857142857143,0.15255994771392026,0.1525599452124234,2.501496870754849e-09,0.12587792845401996,1,1
4,0.7857142857142857,0.15255994612345342,0.1525599452124234,9.110300291936824e-10,0.045843980128466355,1,1
5,0.8571428571428571,0.15255994478966312,0.1525599452124234,4.227602712347789e-10,0.021273737256219356,0,0
6,0.9285714285714286,0.15255994365473244,0.1525599452124234,1.5576909484504853e-09,0.07838463124015667,0,0
7,1.0,0.15255994267811782,0.1525599452124234,2.534305570955908e-09,0.12752889642638127,0,0
8,1.0714285714285714,0.15255994183043842,0.1525599452124234,3.381984969852425e-09,0.17018500684319882,0,0
9,1.1428571428571428,0.15255994108975934,0.1525599452124234,4.1226640434821604e-09,0.20745674942571865,0,0
10,1.2142857142857142,0.15255994043925555,0.1525599452124234,4.77316783320525e-09,0.2401907777825571,0,0
11,1.2857142857142856,0.1525599398657023,0.1525599452124234,5.346721093646423e-09,0.26905257534323024,0,0
12,1.3571428571428572,0.15255993935847442,0.1525599452124234,5.853948964462674e-09,0.29457681020394627,0,0
13,1.4285714285714284,0.15255993890887057,0.1525599452124234,6.3035528186095036e-09,0.317201344516423,0,0
14,1.5,0.15255993850964483,0.1525599452124234,6.702778554412703e-09,0.3372907994327804,0,0
15,1.5714285714285714,0.1525599381546774,0.1525599452124234,7.057745998739762e-09,0.3551531310162792,0,0
16,1.6428571428571428,0.15255993783873925,0.1525599452124234,7.373684135503211e-09,0.3710514671846571,0,0
17,1.7142857142857142,0.15255993755731978,0.1525599452124234,7.655103606563074e-09,0.3852127881352413,0,0
18,1.7857142857142856,0.15255993730649592,0.1525599452124234,7.90592746824359e-09,0.39783450614908533,0,0
19,1.857142857142857,0.1525599370828372,0.1525599452124234,8.129586198668548e-09,0.4090892464590559,0,0
20,1.9285714285714284,0.1525599368833282,0.1525599452124234,8.329095191328406e-09,0.41912874680685885,0,0
21,2.0,0.1525599367053086,0.1525599452124234,8.507114790390347e-09,0.42808687848238247,0,0
22,2.071428571428571,0.1525599365464246,0.1525599452124234,8.665998779688877e-09,0.43608208634021783,0,0
23,2.142857142857143,0.15255993640458979,0.1525599452124234,8.807833601354176e-09,0.4432193623218926,0,0
24,2.2142857142857144,0.1525599362779509,0.1525599452124234,8.934472495170098e-09,0.4495919633839305,0,0
25,2.2857142857142856,0.15255993616486063,0.1525599452124234,9.047562754549432e-09,0.45528278304692,0,0
26,2.3571428571428568,0.15255993606385318,0.1525599452124234,9.14857020695159e-09,0.4603655832756346,0,0
27,2.4285714285714284,0.15255993597362338,0.1525599452124234,9.238800002808745e-09,0.464906040599453,0,0
28,2.5,0.15255993589300895,0.1525599452124234,9.319414434605378e-09,0.4689626427870048,0,0
29,2.571428571428571,0.15255993582097374,0.1525599452124234,9.391449645734795e-09,0.4725875296532365,0,0
30,2.642857142857143,0.1525599357565948,0.1525599452124234,9.455828592352944e-09,0.47582714531339887,0,0
31,2.714285714285714,0.15255993569904913,0.1525599452124234,9.513374255032403e-09,0.4787229030072385,0,0
32,2.7857142857142856,0.15255993564760328,0.1525599452124234,9.564820102614391e-09,0.48131171165093184,0,0
33,2.857142857142857,0.1525599356016031,0.1525599452124234,9.610820278505017e-09,0.4836264884221237,0,0
34,2.9285714285714284,0.15255993556046551,0.1525599452124234,9.651957871836814e-09,0.48569657497339247,0,0
35,3.0,0.15255993552367034,0.1525599452124234,9.688753049852394e-09,0.4875481466622671,0,0
36,3.071428571428571,0.15255993549075367,0.1525599452124234,9.721669719242598e-09,0.48920454775670236,0,0
37,3.142857142857143,0.15255993546130187,0.1525599452124234,9.751121521350825e-09,0.49068659312000623,0,0
38,3.214285714285714,0.1525599354349459,0.1525599452124234,9.77747749431046e-09,0.49201285313549364,0,0
39,3.2857142857142856,0.15255993541135646,0.1525599452124234,9.801066930270608e-09,0.49319989812714543,0,0
40,3.3571428571428568,0.15255993539023982,0.1525599452124234,9.822183566488008e-09,0.49426250925971954,0,0
41,3.4285714285714284,0.1525599353713337,0.1525599452124234,9.841089693152227e-09,0.4952138852487941,0,0
42,3.5,0.1525599353544041,0.1525599452124234,9.858019289765707e-09,0.49606580018667845,0,0
43,3.571428571428571,0.15255993533924195,0.1525599452124234,9.873181439079559e-09,0.49682877533521913,0,0
44,3.642857142857143,0.1525599353256608,0.1525599452124234,9.886762575295194e-09,0.4975121922576477,0,0
45,3.714285714285714,0.15255993531349413,0.1525599452124234,9.89892925962188e-09,0.4981244324875286,0,0
46,3.7857142857142856,0.1525599353025928,0.1525599452124234,9.909830595011826e-09,0.4986729990407439,0,0
47,3.8571428571428568,0.15255993529282427,0.1525599452124234,9.919599114338595e-09,0.4991645611095566,0,0
48,3.9285714285714284,0.15255993528406941,0.1525599452124234,9.928353972288306e-09,0.4996051146819008,0,0
49,4.0,0.1525599352762221,0.1525599452124234,9.936201278426537e-09,0.4999999993016553,0,0
