point_id,beta1,beta_out,beta_out_range,convergence_steps,final_error,error_satisfied
0,0.5,0.1525599551486247,1.987240258460865e-08,146,0.0008061620501888522,True
1,0.5714285714285714,0.152559952053489,1.987240258460865e-08,146,0.0008061633664813439,True
2,0.6428571428571428,0.15255994964660172,1.987240258460865e-08,146,0.0008061695380021383,True
3,0.7142857142857143,0.15255994771392026,1.987240258460865e-08,146,0.0008061645534524764,True
4,0.7857142857142857,0.15255994612345342,1.987240258460865e-08,146,0.0008061677553171387,True
5,0.8571428571428571,0.15255994478966312,1.987240258460865e-08,146,0.0008061732262909516,True
6,0.9285714285714286,0.15255994365473244,1.987240258460865e-08,146,0.0008061745831888789,True
7,1.0,0.15255994267811782,1.987240258460865e-08,146,0.0008061742084245205,True
8,1.0714285714285714,0.15255994183043842,1.987240258460865e-08,146,0.00080617837738578,True
9,1.1428571428571428,0.15255994108975934,1.987240258460865e-08,146,0.0008061759747370889,True
10,1.2142857142857142,0.15255994043925555,1.987240258460865e-08,146,0.0008061776147197108,True
11,1.2857142857142856,0.1525599398657023,1.987240258460865e-08,146,0.0008061787554148603,True
12,1.3571428571428572,0.15255993935847442,1.987240258460865e-08,146,0.0008061862628339633,True
13,1.4285714285714284,0.15255993890887057,1.987240258460865e-08,146,0.0008061787923717145,True
14,1.5,0.15255993850964483,1.987240258460865e-08,146,0.000806178075842573,True
15,1.5714285714285714,0.1525599381546774,1.987240258460865e-08,146,0.0008061886529185935,True
16,1.6428571428571428,0.15255993783873925,1.987240258460865e-08,146,0.0008061857096206271,True
17,1.7142857142857142,0.15255993755731978,1.987240258460865e-08,146,0.0008061861926344782,True
18,1.7857142857142856,0.15255993730649592,1.987240258460865e-08,146,0.0008061864176578393,True
19,1.857142857142857,0.1525599370828372,1.987240258460865e-08,146,0.000806186630024186,True
20,1.9285714285714284,0.1525599368833282,1.987240258460865e-08,146,0.0008061820160207844,True
21,2.0,0.1525599367053086,1.987240258460865e-08,146,0.0008061821214501996,True
22,2.071428571428571,0.1525599365464246,1.987240258460865e-08,146,0.0008061894107520284,True
23,2.142857142857143,0.15255993640458979,1.987240258460865e-08,146,0.0008061902801630716,True
24,2.2142857142857144,0.1525599362779509,1.987240258460865e-08,146,0.0008061859412536454,True
25,2.2857142857142856,0.15255993616486063,1.987240258460865e-08,146,0.0008061898242038568,True
26,2.3571428571428568,0.15255993606385318,1.987240258460865e-08,146,0.0008061918874254781,True
27,2.4285714285714284,0.15255993597362338,1.987240258460865e-08,146,0.0008061900893321927,True
28,2.5,0.15255993589300895,1.987240258460865e-08,146,0.0008061846102023484,True
29,2.571428571428571,0.15255993582097374,1.987240258460865e-08,146,0.0008061909693668767,True
30,2.642857142857143,0.1525599357565948,1.987240258460865e-08,146,0.0008061878945219703,True
31,2.714285714285714,0.15255993569904913,1.987240258460865e-08,146,0.0008061891678771138,True
32,2.7857142857142856,0.15255993564760328,1.987240258460865e-08,146,0.0008061879204908362,True
33,2.857142857142857,0.1525599356016031,1.987240258460865e-08,146,0.000806189995851414,True
34,2.9285714285714284,0.15255993556046551,1.987240258460865e-08,146,0.0008061875415296127,True
35,3.0,0.15255993552367034,1.987240258460865e-08,146,0.0008061944236040508,True
36,3.071428571428571,0.15255993549075367,1.987240258460865e-08,146,0.0008061888550856822,True
37,3.142857142857143,0.15255993546130187,1.987240258460865e-08,146,0.0008061919273899543,True
38,3.214285714285714,0.1525599354349459,1.987240258460865e-08,146,0.0008061858573392422,True
39,3.2857142857142856,0.15255993541135646,1.987240258460865e-08,146,0.0008061875875585434,True
40,3.3571428571428568,0.15255993539023982,1.987240258460865e-08,146,0.0008061876979253979,True
41,3.4285714285714284,0.1525599353713337,1.987240258460865e-08,146,0.0008061903539038073,True
42,3.5,0.1525599353544041,1.987240258460865e-08,146,0.0008061870497864942,True
43,3.571428571428571,0.15255993533924195,1.987240258460865e-08,146,0.0008061890288254825,True
44,3.642857142857143,0.1525599353256608,1.987240258460865e-08,146,0.0008061884748112036,True
45,3.714285714285714,0.15255993531349413,1.987240258460865e-08,146,0.0008061854157579151,True
46,3.7857142857142856,0.1525599353025928,1.987240258460865e-08,146,0.0008061852441376971,True
47,3.8571428571428568,0.15255993529282427,1.987240258460865e-08,146,0.0008061877788183291,True
48,3.9285714285714284,0.15255993528406941,1.987240258460865e-08,146,0.0008061891237680363,True
49,4.0,0.1525599352762221,1.987240258460865e-08,146,0.0008061879025993424,True
