beta1,beta_v,J0,J1,Jz,Jc_exact,sigma,sum_J,beta_out,beta_out_fixed,convergence_steps,final_error,P01,P10,threshold,margin,confidence_score,logic_output,energy_conserved,second_law_valid
0.5,4.499288515659321,-2.4733904853364076e-08,2.731343879028016e-08,-2.57953393755098e-09,-2.57953393755098e-09,2.6023671822457014e-08,-6.34895861720176e-19,0.1525599551486247,1.9999998250676694,146,0.0008061620501888522,0.30559772034775196,0.0322212231617888,0.1525599452124234,9.936201306182113e-09,0.5000000006983447,1,True,True
0.5714285714285714,4.2851120419517255,-2.0470809004246498e-08,2.2484381861559116e-08,-2.0135728572057554e-09,-2.0135728572057554e-09,1.9871568156970295e-08,1.0686304974541937e-19,0.152559952053489,1.9999998634485923,146,0.0008061633664813439,0.28379956450714844,0.03330515564720426,0.1525599452124234,6.8410656028916605e-09,0.34424954777184946,1,True,True
0.6428571428571428,4.070916783900998,-1.702948786870249e-08,1.8602949275984766e-08,-1.5734614068257047e-09,-1.5734614068257047e-09,1.5158654389603524e-08,4.565701973144629e-19,0.15255994964660172,1.9999998932949625,146,0.0008061695380021383,0.2629242867469709,0.03434332634105684,0.1525599452124234,4.434178330070537e-09,0.22313247284477053,1,True,True
0.7142857142857143,3.8567074991201116,-1.4185608387625533e-08,1.5405669279355575e-08,-1.2200608921410607e-09,-1.2200608921410607e-09,1.1494423988325381e-08,-4.1101901534239275e-19,0.15255994771392026,1.9999999172609886,146,0.0008061645534524764,0.24302647426490492,0.03533297399496196,0.1525599452124234,2.501496870754849e-09,0.12587792845401996,1,True,True
0.7857142857142857,3.642487388849997,-1.1793320028446926e-08,1.2722556060677941e-08,-9.292360323491331e-10,-9.292360323491331e-10,8.622922027343996e-09,-1.18117875954969e-19,0.15255994612345342,1.999999936983417,146,0.0008061677553171387,0.2241450599192477,0.03627213213895011,0.1525599452124234,9.110300291936824e-10,0.045843980128466355,1,True,True
0.8571428571428571,3.42825872117204,-9.75327081309519e-09,1.0438616557377625e-08,-6.853457439303175e-10,-6.853457439303175e-10,6.3678663429637105e-09,3.5211682809098705e-19,0.15255994478966312,1.9999999535229542,146,0.0008061732262909516,0.20630406478586563,0.037159585617311024,0.1525599452124234,4.227602712347789e-10,0.021273737256219356,0,True,True
0.9285714285714286,3.2140231722561396,-7.995110077473622e-09,8.472928021742472e-09,-4.778179441935831e-10,-4.778179441935831e-10,4.602764183071721e-09,7.526630130954225e-20,0.15255994365473244,1.9999999675965523,146,0.0008061745831888789,0.18951368465369844,0.03799481299654417,0.1525599452124234,1.5576909484504853e-09,0.07838463124015667,0,True,True
1.0,2.999782025094305,-6.467348083441875e-09,6.766587131114724e-09,-2.99239047656454e-10,-2.99239047656454e-10,3.233674041704542e-09,1.6394926535954147e-20,0.15255994267811782,1.9999999797069667,146,0.0008061742084245205,0.17377163057063327,0.038777917834671896,0.1525599452124234,2.534305570955908e-09,0.12752889642638127,0,True,True
1.0714285714285714,2.785536291371759,-5.131198991795407e-09,5.275435594345531e-09,-1.442366025315292e-10,-1.442366025315292e-10,2.188782667711572e-09,1.859465827867407e-20,0.15255994183043842,1.9999999902185321,146,0.00080617837738578,0.15906463435667578,0.03950955254775449,0.1525599452124234,3.381984969852425e-09,0.17018500684319882,0,True,True
1.1428571428571428,2.5712867895993665,-3.956696504306484e-09,3.965496196125627e-09,-8.799691501808777e-12,-8.799691501808777e-12,1.4118487952465324e-09,3.1733455541737993e-19,0.15255994108975934,1.9999999994032518,146,0.0008061759747370889,0.1453700367723832,0.04019083861869788,0.1525599452124234,4.1226640434821604e-09,0.20745674942571865,0,True,True
1.2142857142857142,2.3570341972067386,-2.92016354040859e-09,2.8100153279549124e-09,1.1014821213148703e-10,1.1014821213148703e-10,8.579356288218618e-10,-3.2219057090216077e-19,0.15255994043925555,2.0000000074697613,146,0.0008061776147197108,0.13265738678266198,0.040823286522343155,0.1525599452124234,4.77316783320525e-09,0.2401907777825571,0,True,True
1.2857142857142856,2.1427790865233867,-2.002518354772952e-09,1.7874930121656744e-09,2.1502534245815543e-10,2.1502534245815543e-10,4.905468883454062e-10,-1.4912236307225815e-19,0.1525599398657023,2.0000000145820547,146,0.0008061787554148603,0.12088999331806638,0.041408718178336884,0.1525599452124234,5.346721093646423e-09,0.26905257534323024,0,True,True
1.3571428571428572,1.928521950453134,-1.1881133316597177e-09,8.803388323280701e-10,3.077744991034353e-10,3.077744991034353e-10,2.796499402266176e-10,-2.2821230676332677e-19,0.15255993935847442,2.0000000208718838,146,0.0008061862628339633,0.11002638461240691,0.04194919410644148,0.1525599452124234,5.853948964462674e-09,0.29457681020394627,0,True,True
1.4285714285714284,1.7142632213629854,-4.6392186219427793e-10,7.393503512403913e-11,3.899868273261955e-10,3.899868273261955e-10,2.0027448721659412e-10,2.559566682913913e-19,0.15255993890887057,2.0000000264471525,146,0.0008061787923717145,0.100021643425038,0.042446946824831674,0.1525599452124234,6.3035528186095036e-09,0.317201344516423,0,True,True
1.5,1.5000032853924077,1.810422400944638e-10,-6.44029539050199e-10,4.6298729909880703e-10,4.6298729909880703e-10,2.3149364933479574e-10,1.4307184708416246e-19,0.15255993850964483,2.0000000313977147,146,0.000806178075842573,0.0908285984264777,0.04290432145018936,0.1525599452124234,6.702778554412703e-09,0.3372907994327804,0,True,True
1.5714285714285714,1.2857424936065758,7.561469802640819e-10,-1.2840418736921295e-09,5.278948932931877e-10,5.278948932931877e-10,3.5566472354117863e-10,-1.3485990815546571e-19,0.1525599381546774,2.000000035799455,146,0.0008061886529185935,0.08239886225057319,0.04332372395788231,0.1525599452124234,7.057745998739762e-09,0.3551531310162792,0,True,True
1.6428571428571428,1.0714811709376983,1.2694547647875962e-09,-1.8551205311475636e-09,5.856657662913356e-10,5.856657662913356e-10,5.578501019839815e-10,-6.863179580898412e-20,0.15255993783873925,2.0000000397172144,146,0.0008061857096206271,0.07468371498345117,0.04370757715417722,0.1525599452124234,7.373684135503211e-09,0.3710514671846571,0,True,True
