drive_amplitude,buffer_coupling,coupling_scale,architecture,truth_table_accuracy,min_margin,final_trace_distance,integrated_drive_work_proxy,phase_label
0.1,0.01,0.5,floquet_buffered_three_qubit,1.0,0.474985900050368,0.024418221086660016,-0.0002961315045555057,robust_pass
0.1,0.01,1.0,direct_three_qubit,1.0,0.49994201078120737,0.024852148875826846,0.0,robust_pass
0.1,0.01,1.0,floquet_buffered_three_qubit,1.0,0.4850023447995029,0.024666820246764577,-0.0005355474395307459,robust_pass
0.1,0.01,1.5,direct_three_qubit,1.0,0.499950293953461,0.024852345695947464,0.0,robust_pass
0.1,0.01,1.5,floquet_buffered_three_qubit,1.0,0.48878149603348997,0.024714513299420586,-0.00076899945394906,robust_pass
0.1,0.01,2.0,direct_three_qubit,1.0,0.4999098373002768,0.02485283858329007,0.0,robust_pass
0.1,0.01,2.0,floquet_buffered_three_qubit,1.0,0.49168033039148495,0.024750309026555006,-0.0009941625819030865,robust_pass
0.1,0.02,0.5,direct_three_qubit,1.0,0.49587993549917786,0.024650126342162543,0.0,robust_pass
0.1,0.02,0.5,floquet_buffered_three_qubit,1.0,0.4189270749875671,0.02375560382515063,-0.00029559591466561967,robust_pass
0.1,0.02,1.0,direct_three_qubit,1.0,0.49994201078120737,0.024852148875826846,0.0,robust_pass
0.1,0.02,1.0,floquet_buffered_three_qubit,1.0,0.44157312658197134,0.024130766000309212,-0.0005353312900309997,robust_pass
0.1,0.02,1.5,direct_three_qubit,1.0,0.499950293953461,0.024852345695947464,0.0,robust_pass
0.1,0.02,1.5,floquet_buffered_three_qubit,1.0,0.4559842848730935,0.024309553190392588,-0.0007686770207965255,robust_pass
0.1,0.02,2.0,direct_three_qubit,1.0,0.4999098373002768,0.02485283858329007,0.0,robust_pass
0.1,0.02,2.0,floquet_buffered_three_qubit,1.0,0.4672465137403654,0.02444863506437608,-0.0009935554525731102,robust_pass
0.1,0.04,0.5,direct_three_qubit,1.0,0.49587993549917786,0.024650126342162543,0.0,robust_pass
0.1,0.04,0.5,floquet_buffered_three_qubit,1.0,0.2343862798626879,0.021434731583615352,-0.0002936836528095437,robust_pass
0.1,0.04,1.0,direct_three_qubit,1.0,0.49994201078120737,0.024852148875826846,0.0,robust_pass
0.1,0.04,1.0,floquet_buffered_three_qubit,1.0,0.2854654265314702,0.022200914164965745,-0.0005341023781681226,robust_pass
0.1,0.04,1.5,direct_three_qubit,1.0,0.499950293953461,0.024852345695947464,0.0,robust_pass
0.1,0.04,1.5,floquet_buffered_three_qubit,1.0,0.33496827861697476,0.022814210718128884,-0.0007673868960918322,robust_pass
0.1,0.04,2.0,direct_three_qubit,1.0,0.4999098373002768,0.02485283858329007,0.0,robust_pass
0.1,0.04,2.0,floquet_buffered_three_qubit,1.0,0.3752402283332621,0.023312032342233547,-0.0009913759076714747,robust_pass
0.1,0.08,0.5,direct_three_qubit,1.0,0.49587993549917786,0.024650126342162543,0.0,robust_pass
0.1,0.08,0.5,floquet_buffered_three_qubit,0.5,0.2513054865345552,0.015445423461202944,-0.0002915495523128928,fail
0.1,0.08,1.0,direct_three_qubit,1.0,0.49994201078120737,0.024852148875826846,0.0,robust_pass
0.1,0.08,1.0,floquet_buffered_three_qubit,0.5,0.14879905389178472,0.0168201969772447,-0.0005341361723324959,fail
0.1,0.08,1.5,direct_three_qubit,1.0,0.499950293953461,0.024852345695947464,0.0,robust_pass
0.1,0.08,1.5,floquet_buffered_three_qubit,0.5,0.028877169226573685,0.01830877124892171,-0.0007663534128628982,fail
0.1,0.08,2.0,direct_three_qubit,1.0,0.4999098373002768,0.02485283858329007,0.0,robust_pass
0.1,0.08,2.0,floquet_buffered_three_qubit,1.0,0.07983878421422208,0.01965640328720331,-0.0009870039049651215,robust_pass
0.2,0.0,0.5,direct_three_qubit,1.0,0.49587993549917786,0.024650126342162543,0.0,robust_pass
0.2,0.0,0.5,floquet_buffered_three_qubit,1.0,0.4958368809861229,0.024647997673816424,-0.0011815886297561473,robust_pass
0.2,0.0,1.0,direct_three_qubit,1.0,0.49994201078120737,0.024852148875826846,0.0,robust_pass
0.2,0.0,1.0,floquet_buffered_three_qubit,1.0,0.4999136191548197,0.02485084446026181,-0.002136740096979533,robust_pass
0.2,0.0,1.5,direct_three_qubit,1.0,0.499950293953461,0.024852345695947464,0.0,robust_pass
0.2,0.0,1.5,floquet_buffered_three_qubit,1.0,0.4999471524360517,0.024852513838045848,-0.003068831816312639,robust_pass
0.2,0.0,2.0,direct_three_qubit,1.0,0.4999098373002768,0.02485283858329007,0.0,robust_pass
0.2,0.0,2.0,floquet_buffered_three_qubit,1.0,0.4999474284064682,0.0248525275766035,-0.003965753957135148,robust_pass
