drive_amplitude,buffer_coupling,coupling_scale,direct_accuracy,buffered_accuracy,direct_min_margin,buffered_min_margin,margin_gain,trace_distance_gain,buffered_work_proxy,three_phase_label
0.0,0.0,0.5,1.0,1.0,0.49587993549917786,0.49583928731037186,-4.064818880600285e-05,-1.7612892330987062e-06,0.0,robust_pass
0.0,0.0,1.0,1.0,1.0,0.49994201078120737,0.4999403919242349,-1.618856972473992e-06,-1.1821945281043078e-07,0.0,robust_pass
0.0,0.0,1.5,1.0,1.0,0.499950293953461,0.49996056665857647,1.027270511544387e-05,1.013818655887233e-06,0.0,robust_pass
0.0,0.0,2.0,1.0,1.0,0.4999098373002768,0.49995001987062193,4.0182570345104196e-05,-2.463094800064791e-07,0.0,robust_pass
0.0,0.01,0.5,1.0,1.0,0.49587993549917786,0.4753692978940034,-0.020510637605174464,-0.00022608271488958054,0.0,robust_pass
0.0,0.01,1.0,1.0,1.0,0.49994201078120737,0.4852145374777719,-0.01472747330343549,-0.00018268408578464568,0.0,robust_pass
0.0,0.01,1.5,1.0,1.0,0.499950293953461,0.4888987546120114,-0.011051539341449645,-0.00013638183883193933,0.0,robust_pass
0.0,0.01,2.0,1.0,1.0,0.4999098373002768,0.4917434624042163,-0.008166374896060535,-0.00010174919083150158,0.0,robust_pass
0.0,0.02,0.5,1.0,1.0,0.49587993549917786,0.420318538555535,-0.07556139694364283,-0.0008747234040778484,0.0,robust_pass
0.0,0.02,1.0,1.0,1.0,0.49994201078120737,0.4423842697725209,-0.05755774100868649,-0.0007113242500905725,0.0,robust_pass
0.0,0.02,1.5,1.0,1.0,0.499950293953461,0.45643865093236347,-0.04351164302109756,-0.0005371773465660534,0.0,robust_pass
0.0,0.02,2.0,1.0,1.0,0.4999098373002768,0.46749308520633215,-0.03241675209394468,-0.00040117418791407733,0.0,robust_pass
0.0,0.04,0.5,1.0,1.0,0.49587993549917786,0.2386470384801722,-0.25723289701900565,-0.0031622138819162593,0.0,robust_pass
0.0,0.04,1.0,1.0,1.0,0.49994201078120737,0.2882134946689565,-0.21172851611225085,-0.0026171866446234315,0.0,robust_pass
0.0,0.04,1.5,1.0,1.0,0.499950293953461,0.3365719692523268,-0.16337832470113423,-0.0020182808899008864,0.0,robust_pass
0.0,0.04,2.0,1.0,1.0,0.4999098373002768,0.3761392415988438,-0.123770595701433,-0.0015296862483097085,0.0,robust_pass
0.0,0.08,0.5,1.0,0.5,0.49587993549917786,0.2430241448049546,-0.25285579069422326,-0.00909840651783475,0.0,fail
0.0,0.08,1.0,1.0,0.5,0.49994201078120737,0.14245254736646196,-0.3574894634147454,-0.007953128931640768,0.0,fail
0.0,0.08,1.5,1.0,0.5,0.499950293953461,0.024711746753438124,-0.4752385472000229,-0.006491898322207035,0.0,fail
0.0,0.08,2.0,1.0,1.0,0.4999098373002768,0.082418079843813,-0.41749175745646383,-0.005164481909327695,0.0,robust_pass
0.1,0.0,0.5,1.0,1.0,0.49587993549917786,0.49583688099109335,-4.305450808450573e-05,-2.1286683244692295e-06,-0.0002961310395307907,robust_pass
0.1,0.0,1.0,1.0,1.0,0.49994201078120737,0.49991361915417465,-2.8391627032720024e-05,-1.3044156038366506e-06,-0.0005355848429587026,robust_pass
0.1,0.0,1.5,1.0,1.0,0.499950293953461,0.4999471524360277,-3.1415174333027096e-06,1.6814209599647079e-07,-0.0007692498392476395,robust_pass
0.1,0.0,2.0,1.0,1.0,0.4999098373002768,0.4999474284064682,3.75911061913925e-05,-3.110066865152916e-07,-0.0009945060459727647,robust_pass
0.1,0.01,0.5,1.0,1.0,0.49587993549917786,0.474985900050368,-0.020894035448809856,-0.00023190525550252639,-0.0002961315045555057,robust_pass
0.1,0.01,1.0,1.0,1.0,0.49994201078120737,0.4850023447995029,-0.014939665981704486,-0.00018532862906226952,-0.0005355474395307459,robust_pass
0.1,0.01,1.5,1.0,1.0,0.499950293953461,0.48878149603348997,-0.011168797919971052,-0.00013783239652687823,-0.00076899945394906,robust_pass
0.1,0.01,2.0,1.0,1.0,0.4999098373002768,0.49168033039148495,-0.008229506908791873,-0.00010252955673506481,-0.0009941625819030865,robust_pass
0.1,0.02,0.5,1.0,1.0,0.49587993549917786,0.4189270749875671,-0.07695286051161077,-0.0008945225170119142,-0.00029559591466561967,robust_pass
0.1,0.02,1.0,1.0,1.0,0.49994201078120737,0.44157312658197134,-0.058368884199236026,-0.0007213828755176337,-0.0005353312900309997,robust_pass
