architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,drive_power
direct_three_qubit,0,1.0,1,0.0,101.5,1.9999607626096199,0.4625701546562504,1.5000000000000013,1,True,0.0
direct_three_qubit,0,1.0,1,0.15,101.5,1.9999607626096199,0.46234912586256627,1.5088912730189465,1,True,0.0
direct_three_qubit,0,1.0,1,0.3,101.5,1.9999607626096199,0.4621317995128298,1.5176341891419636,1,True,0.0
direct_three_qubit,0,1.0,1,0.44999999999999996,101.5,1.9999607626096199,0.46191834401204007,1.5262219467623106,1,True,0.0
direct_three_qubit,0,1.0,1,0.6,101.5,1.9999607626096199,0.4617086650602654,1.5346583128807991,1,True,0.0
direct_three_qubit,0,1.0,1,0.75,101.5,1.9999607626096199,0.46150264009831704,1.542948192785973,1,True,0.0
direct_three_qubit,0,1.0,1,0.8999999999999999,101.5,1.9999607626096199,0.4613002666563348,1.5510916606901106,1,True,0.0
direct_three_qubit,0,1.0,1,1.05,101.5,1.9999607626096199,0.4611015447343187,1.559088691631453,1,True,0.0
direct_three_qubit,0,1.0,1,1.2,101.5,1.9999607626096199,0.4609064622122422,1.5669397486412744,1,True,0.0
direct_three_qubit,0,1.0,1,1.3499999999999999,101.5,1.9999607626096199,0.46071488980736763,1.5746500107109191,1,True,0.0
direct_three_qubit,0,1.0,1,1.5,101.5,1.9999607626096199,0.46052674299685853,1.5822228566807384,1,True,0.0
direct_three_qubit,0,1.0,1,1.65,101.5,1.9999607626096199,0.4603419594274567,1.5896607740136182,1,True,0.0
direct_three_qubit,0,1.0,1,1.7999999999999998,101.5,1.9999607626096199,0.460160476745904,1.5969662509689537,1,True,0.0
direct_three_qubit,0,1.0,1,1.95,101.5,1.9999607626096199,0.45998223259894216,1.604141776593169,1,True,0.0
direct_three_qubit,0,1.0,1,2.1,101.5,1.9999607626096199,0.45980716463331317,1.6111898407098426,1,True,0.0
direct_three_qubit,0,1.0,1,2.25,101.5,1.9999607626096199,0.459635210495759,1.6181129339094404,1,True,0.0
direct_three_qubit,0,1.0,1,2.4,101.5,1.9999607626096199,0.4594663195370697,1.6249130762797386,1,True,0.0
direct_three_qubit,0,1.0,1,2.55,101.5,1.9999607626096199,0.45930045135796804,1.6315918758196115,1,True,0.0
direct_three_qubit,0,1.0,1,2.6999999999999997,101.5,1.9999607626096199,0.4591375510417203,1.6381515256778356,1,True,0.0
direct_three_qubit,0,1.0,1,2.85,101.5,1.9999607626096199,0.45897756351016156,1.6445942261697557,1,True,0.0
direct_three_qubit,0,1.0,1,3.0,101.5,1.9999607626096199,0.45882043368512737,1.650922178268049,1,True,0.0
direct_three_qubit,0,1.0,1,3.15,101.5,1.9999607626096199,0.458666106488453,1.6571375835929558,1,True,0.0
direct_three_qubit,0,1.0,1,3.3,101.5,1.9999607626096199,0.45851452684197425,1.6632426444022081,1,True,0.0
