architecture,truth_table_correct,truth_table_total,truth_table_accuracy,final_trace_distance,integrated_drive_work_proxy
direct_three_qubit,2,2,1.0,0.02485444904060355,0.0
floquet_buffered_three_qubit,2,2,1.0,0.0241198799674548,-0.0018125577879077623
