architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,decoder_threshold,decoding_margin,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_direct_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.46436121940462305,1.4279727763094507,1,True,1.2851527987908704,0.14281997751858033,0.9999977755291364,1.3303051742023847e-08,0.5025378623438774,0.3375102220015833
pt_mpo_floquet_buffered_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.4630282943292595,1.4815724041316305,1,True,1.4815464202509727,2.5983880657776126e-05,0.9999982869165194,3.5042552615548795e-15,0.5027319744430199,36.51361422800983
pt_mpo_direct_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.4714726943681443,1.1423328212722903,0,True,1.2851527987908704,0.1428199775185801,0.9999992125139551,5.802841049193505e-07,0.5016267819180075,0.446520954996231
pt_mpo_floquet_buffered_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.46302958642003084,1.481520436370315,0,True,1.4815464202509727,2.5983880657776126e-05,0.9999991189751878,1.6949115929323272e-15,0.5027326769281257,34.40380219199869
