architecture,truth_table_correct,truth_table_total,truth_table_accuracy,final_trace_distance,max_trace_deviation,max_hermiticity_error,elapsed_seconds_total
pt_mpo_direct_output,1,2,0.5,0.004877703694033235,6.408988206807464e-07,9.114660102246487e-08,1.276390484010335
pt_mpo_floquet_buffered_output,1,2,0.5,1.076965031719685e-06,6.179173530629356e-07,4.073951069062705e-15,84.56061298100394
