architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_direct_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.48548100814673034,0.5809229898203101,0,False,1.0000006408988207,6.281117701173606e-10,0.5004222617585116,0.8764235760027077
pt_mpo_floquet_buffered_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.4630302673170287,1.481493050769345,0,False,1.0000000870865007,3.427573670259337e-15,0.5027336159638776,41.31653956700757
pt_mpo_direct_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.4903581455856162,0.3857219930275772,0,True,0.9999995083886565,2.632109608090579e-08,0.500185429621905,0.39996690800762735
pt_mpo_floquet_buffered_output,1,2.0,0,4.0,-98.5,1.000052569303521,0.46303076498905715,1.4814730344596219,0,True,0.9999993820826469,3.105482179334625e-15,0.5027327852152739,43.244073413996375
