architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_direct_output,0,1.0,1,0.0,101.5,1.9999607626096199,0.46257015465625045,1.5000000000000013,1,True,1.0,0.0,0.502801986644914,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,0.2,101.5,1.9999607626096199,0.4633718815653607,1.4677540610781676,0,False,0.9999999999999999,0.0,0.5026832381201238,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,0.4,101.5,1.9999607626096199,0.46472778861015374,1.413235904991085,0,False,1.0000000000000002,4.542959637945464e-16,0.5024882577926603,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,0.6000000000000001,101.5,1.9999607626096199,0.4660760985779728,1.359043996419775,0,False,1.0000000205785753,6.641145449014729e-10,0.5023016841501696,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,0.8,101.5,1.9999607626096199,0.46738801038752464,1.3063341454426949,0,False,1.0000000553459598,6.603025975435133e-10,0.5021271426888152,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,1.0,101.5,1.9999607626096199,0.46867685234538203,1.2545688368511825,0,False,1.0000001062549284,6.59915700919955e-10,0.5019623920694032,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,1.2000000000000002,101.5,1.9999607626096199,0.4699515035891314,1.2033899949469813,0,False,1.0000001657650324,6.594311656284206e-10,0.5018060000001477,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,1.4000000000000001,101.5,1.9999607626096199,0.4712017851185679,1.153204919580655,0,False,1.0000002214351869,6.573320876936091e-10,0.5016589085498264,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,1.6,101.5,1.9999607626096199,0.47242856193666927,1.1039773995418058,0,False,1.0000002733524824,6.561152815731407e-10,0.5015206568197594,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,1.8,101.5,1.9999607626096199,0.4736324097619683,1.0556829541612234,0,False,1.0000003215824709,6.547968352354923e-10,0.5013908381712056,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,2.0,101.5,1.9999607626096199,0.4748137963412391,1.0083015386865135,0,False,1.0000003661937018,6.533730046445537e-10,0.5012690743493754,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,2.2,101.5,1.9999607626096199,0.4759731486447583,0.9618148382239535,0,False,1.000000407257476,6.518430055478494e-10,0.5011550059999653,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,2.4000000000000004,101.5,1.9999607626096199,0.4771108773223768,0.9162052796736965,0,False,1.0000004448460706,6.502065445700596e-10,0.5010482890844438,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,2.6,101.5,1.9999607626096199,0.47822738532058046,0.8714556802835919,0,False,1.0000004790315615,6.484625204449384e-10,0.5009485933912872,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,2.8000000000000003,101.5,1.9999607626096199,0.47932306802001995,0.8275492367778644,0,False,1.0000005098860152,6.466100881995441e-10,0.5008556020042415,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,3.0,101.5,1.9999607626096199,0.4803983133697045,0.7844695149562189,0,False,1.0000005374816847,6.446491229175348e-10,0.5007690107905733,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,3.2,101.5,1.9999607626096199,0.481453502017926,0.7422004397397114,0,False,1.0000005618912122,6.425791932073931e-10,0.5006885279085546,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,3.4000000000000004,101.5,1.9999607626096199,0.4824890074400061,0.7007262856399114,0,False,1.000000583187852,6.404001877764918e-10,0.5006138733334607,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,3.6,101.5,1.9999607626096199,0.48350517839738083,0.6600323750222443,0,False,1.0000006064508515,6.310118365617512e-10,0.5005447847372211,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,3.8000000000000003,101.5,1.9999607626096199,0.4845023944910035,0.6201028495032683,0,False,1.000000625657243,6.280310068191609e-10,0.5004809966030376,0.8764235760027077
pt_mpo_direct_output,0,1.0,1,4.0,101.5,1.9999607626096199,0.48548100814673034,0.5809229898203101,0,False,1.0000006408988207,6.281117701173606e-10,0.5004222617585116,0.8764235760027077
pt_mpo_floquet_buffered_output,0,1.0,1,0.0,101.5,1.9999607626096199,0.46257015465625045,1.5000000000000013,1,True,1.0,0.0,0.502801986644914,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,0.2,101.5,1.9999607626096199,0.46257135227270585,1.4999518253811455,0,False,0.9999999999999999,1.1979871047205763e-20,0.5028018073413877,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,0.4,101.5,1.9999607626096199,0.46257494347204575,1.4998073680017212,0,False,1.0,2.538297009116576e-16,0.5028012697122424,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,0.6000000000000001,101.5,1.9999607626096199,0.4625809303795991,1.4995665426820666,0,False,1.000000012472528,2.262244734204631e-15,0.5028003869484733,41.31653956700757
pt_mpo_floquet_buffered_output,0,1.0,1,0.8,101.5,1.9999607626096199,0.46258930046529295,1.4992298539677484,0,False,1.0000000308454022,2.176507559593367e-15,0.5027991540327127,41.31653956700757
