architecture,input_bit,beta1,expected_output_bit,time,beta_virtual,target_output_beta,output_excited_population,output_beta_effective,decoded_output_bit,is_correct,decoder_threshold,decoding_margin,trace,hermiticity_error,purity,elapsed_seconds
pt_mpo_direct_output,0,1.0,1,0.0,101.5,1.9999607626096199,0.46257015465625045,1.5000000000000013,1,True,1.2851527987908704,0.21484720120913092,1.0,0.0,0.502801986644914,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,0.2,101.5,1.9999607626096199,0.4633718815653607,1.4677540610781676,1,True,1.2851527987908704,0.18260126228729723,0.9999999999999999,0.0,0.5026832381201238,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,0.4,101.5,1.9999607626096199,0.4641834352893379,1.435120637019346,1,True,1.2851527987908704,0.14996783822847548,1.0000000000000004,2.5361473721115333e-16,0.5025656526153466,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,0.6000000000000001,101.5,1.9999607626096199,0.4645873813606418,1.4188803968391286,1,True,1.2851527987908704,0.13372759804825818,0.9999999659773067,1.3963363953590788e-08,0.5025080706854357,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,0.8,101.5,1.9999607626096199,0.4647561929088967,1.4120940551827612,1,True,1.2851527987908704,0.1269412563918908,0.9999998958832615,1.3843683099870695e-08,0.5024841404208817,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,1.0,101.5,1.9999607626096199,0.46479622262716197,1.410484880338334,1,True,1.2851527987908704,0.12533208154746367,0.9999997880202482,1.381308947037653e-08,0.5024783849779499,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,1.2000000000000002,101.5,1.9999607626096199,0.4647624837735508,1.4118411643317197,1,True,1.2851527987908704,0.12668836554084928,0.9999996540621904,1.3793282636471476e-08,0.5024829947819502,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,1.4000000000000001,101.5,1.9999607626096199,0.4647299697353392,1.4131482236631534,1,True,1.2851527987908704,0.127995424872283,0.9999995203721781,1.3756975113874917e-08,0.5024874366091727,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,1.6,101.5,1.9999607626096199,0.4646982469594664,1.4144234859851283,1,True,1.2851527987908704,0.12927068719425794,0.9999993866867947,1.3735163095752855e-08,0.5024917709205778,0.3375102220015833
pt_mpo_direct_output,0,1.0,1,1.8,101.5,1.9999607626096199,0.4646671631221663,1.4156730739785546,1,True,1.2851527987908704,0.13052027518768416,0.999999252923486,1.3711272676652932e-08,0.50249601885505,0.3375102220015833
