architecture,initial_state,time,system_excited_population,system_purity,drive_power
direct,ground,0.0,0.0,1.0,0.0
direct,ground,0.07142857142857142,0.0041655646461428,0.9917035745653571,0.0
direct,ground,0.14285714285714285,0.008307393916992423,0.9835232377533993,0.0
direct,ground,0.21428571428571427,0.01242562282211312,0.9754575465608086,0.0
direct,ground,0.2857142857142857,0.016520385457907114,0.9675050753555414,0.0
direct,ground,0.3571428571428571,0.020591816017867453,0.9596644137380927,0.0
direct,ground,0.42857142857142855,0.024640048220335733,0.9519341675119297,0.0
direct,ground,0.5,0.028665212627624625,0.9443129635747245,0.0
direct,ground,0.5714285714285714,0.032667441025736176,0.9367994413548678,0.0
direct,ground,0.6428571428571428,0.036646865601495056,0.929392254313838,0.0
direct,ground,0.7142857142857142,0.04060361656772193,0.9220900742213135,0.0
direct,ground,0.7857142857142857,0.04453782203732879,0.9148915911090001,0.0
direct,ground,0.8571428571428571,0.04844961049223666,0.9077955085292259,0.0
direct,ground,0.9285714285714285,0.05233910967299367,0.900800545456736,0.0
direct,ground,1.0,0.056206446578775084,0.8939054361164755,0.0
direct,ground,1.0714285714285714,0.060051747467383246,0.8871089298130064,0.0
direct,ground,1.1428571428571428,0.0638751378759966,0.8804097907253621,0.0
direct,ground,1.2142857142857142,0.06767674274027442,0.8738067975353179,0.0
direct,ground,1.2857142857142856,0.07145668620683662,0.8672987435936514,0.0
direct,ground,1.357142857142857,0.07521509167686917,0.8608844366781814,0.0
direct,ground,1.4285714285714284,0.07895208182470838,0.8545626987994943,0.0
direct,ground,1.5,0.08266777859784091,0.8483323660409217,0.0
direct,ground,1.5714285714285714,0.08636230321690376,0.8421922884000496,0.0
direct,ground,1.6428571428571428,0.09003577644665377,0.8361413291873963,0.0
direct,ground,1.7142857142857142,0.0936883185039498,0.8301783650402956,0.0
direct,ground,1.7857142857142856,0.09732004870208011,0.8243022863545905,0.0
direct,ground,1.857142857142857,0.10093108566160663,0.8185119967824479,0.0
direct,ground,1.9285714285714284,0.10452154731041687,0.812806413083494,0.0
direct,ground,2.0,0.1080915508837237,0.80718446497745,0.0
direct,ground,2.071428571428571,0.11164121292406545,0.8016450949981824,0.0
direct,ground,2.142857142857143,0.11517064928130599,0.7961872583491433,0.0
direct,ground,2.214285714285714,0.11867997511263452,0.7908099227602023,0.0
direct,ground,2.2857142857142856,0.12216930488256579,0.7855120683458472,0.0
direct,ground,2.357142857142857,0.12563875236293995,0.7802926874647526,0.0
direct,ground,2.4285714285714284,0.1290884306329226,0.7751507845806966,0.0
direct,ground,2.5,0.13251845207900484,0.7700853761248215,0.0
direct,ground,2.571428571428571,0.13592892905896348,0.7650954893923068,0.0
direct,ground,2.642857142857143,0.1393199737503957,0.7601801626708307,0.0
direct,ground,2.714285714285714,0.14269169689534666,0.7553384469350538,0.0
direct,ground,2.7857142857142856,0.14604420857207998,0.7505694045707305,0.0
direct,ground,2.8571428571428568,0.14937761820096693,0.745872109236854,0.0
direct,ground,2.9285714285714284,0.1526920345444865,0.7412456457376964,0.0
