swept_parameter,swept_value,direct_trace_distance,buffered_trace_distance,trace_distance_gain,relative_trace_distance_gain,integrated_drive_work,gain_per_work
drive_amplitude,0.0,0.23692824129054668,0.08746696990503991,-0.14946127138550677,-0.6308292779762857,0.0,nan
drive_amplitude,0.15,0.23692824129054668,0.3722105017327146,0.1352822604421679,0.5709841076998092,0.08626214000904939,1.5682692363993755
drive_amplitude,0.3,0.23692824129054668,0.3050830124163103,0.06815477112576362,0.2876599714517991,0.18763810321638985,0.36322457942972014
drive_amplitude,0.45,0.23692824129054668,0.3636530768634337,0.126724835572887,0.5348658939205289,0.11372774587188372,1.1142824875439343
drive_amplitude,0.6,0.23692824129054668,0.4016883313597428,0.16476009006919612,0.6954008064709758,0.0876130494752572,1.8805428079035877
drive_frequency,0.5,0.23692824129054668,0.6270570057176856,0.39012876442713895,1.6466114900533173,-0.053219583972233475,7.33054893158659
drive_frequency,0.8,0.23692824129054668,0.6332157246790048,0.3962874833884581,1.6726055164630549,0.020979306975268286,18.889445864709757
drive_frequency,1.0,0.23692824129054668,0.3204795209135476,0.0835512796230009,0.3526438180940254,0.1765303583088454,0.4732969469014804
drive_frequency,1.2,0.23692824129054668,0.6559662908872319,0.4190380495966852,1.768628540498961,0.2588982920909187,1.6185431205916545
drive_frequency,1.6,0.23692824129054668,0.3672190107335468,0.1302907694430001,0.5499165854323954,0.1269450102957735,1.0263559720813855
coupling,0.02,0.23692824129054668,0.9482430202643216,0.7113147789737749,3.002237196795315,-0.019353997999666084,36.75286000267476
coupling,0.05,0.23692824129054668,0.6977552300764283,0.4608269887858816,1.9450065820594447,0.060541445790854964,7.611760551240278
coupling,0.08,0.23692824129054668,0.3204795209135476,0.0835512796230009,0.3526438180940254,0.1765303583088454,0.4732969469014804
coupling,0.12,0.23692824129054668,0.24340859598270004,0.006480354692153356,0.027351550228267022,0.32475029589703064,0.019954884642224
coupling,0.18,0.23692824129054668,0.6011437407817477,0.364215499491201,1.5372397039176142,0.4394307726893058,0.8288347610755863
