ablation,description,drive_amplitude,drive_frequency,coupling,bath_gamma,direct_trace_distance,buffered_trace_distance,trace_distance_gain,relative_gain,integrated_drive_work,absolute_work,gain_per_absolute_work
full_buffer,Driven buffer with system-buffer coupling and buffer-bath dissipation.,0.35,1.0,0.08,0.08,0.23692824129054668,0.3204795209135476,0.0835512796230009,0.3526438180940254,0.1765303583088454,0.1765303583088454,0.4732969469014804
no_periodic_drive,"Buffer present, but the Floquet drive amplitude is set to zero.",0.0,1.0,0.08,0.08,0.23692824129054668,0.08746696990503991,-0.14946127138550677,-0.6308292779762857,0.0,0.0,nan
weak_drive,Buffer present with a reduced drive amplitude.,0.15,1.0,0.08,0.08,0.23692824129054668,0.3722105017327146,0.1352822604421679,0.5709841076998092,0.08626214000904939,0.08626214000904939,1.5682692363993755
strong_drive,Buffer present with a stronger drive amplitude.,0.6,1.0,0.08,0.08,0.23692824129054668,0.4016883313597428,0.16476009006919612,0.6954008064709758,0.0876130494752572,0.0876130494752572,1.8805428079035877
off_resonant_drive,"Buffer present, but the drive frequency is detuned from the qubit scale.",0.35,1.6,0.08,0.08,0.23692824129054668,0.3672190107335468,0.1302907694430001,0.5499165854323954,0.1269450102957735,0.1269450102957735,1.0263559720813855
weak_system_buffer_coupling,Driven buffer with weaker system-buffer coupling.,0.35,1.0,0.02,0.08,0.23692824129054668,0.9482430202643216,0.7113147789737749,3.002237196795315,-0.019353997999666084,0.019353997999666084,36.75286000267476
strong_system_buffer_coupling,Driven buffer with stronger system-buffer coupling.,0.35,1.0,0.18,0.08,0.23692824129054668,0.6011437407817477,0.364215499491201,1.5372397039176142,0.4394307726893058,0.4394307726893058,0.8288347610755863
weak_buffer_bath_contact,Driven buffer with weaker dissipation into the bath.,0.35,1.0,0.08,0.02,0.23692824129054668,0.23716021917343091,0.00023197788288423227,0.0009791060855415554,0.02120207005164798,0.02120207005164798,0.010941284616036879
strong_buffer_bath_contact,Driven buffer with stronger dissipation into the bath.,0.35,1.0,0.08,0.18,0.23692824129054668,0.40559004505303453,0.16866180376248785,0.7118687195911642,0.39836264460289855,0.39836264460289855,0.42338759933330516
