point_id,beta1,beta_v,J0,J1,Jz,Jz_abs
15,1.5714285714285714,1.2853714907615639,-1.0206481875787256e-08,9.434169383640063e-09,7.723124914171712e-10,7.723124914171712e-10
16,1.6428571428571428,1.07112443127281,-8.726089049277844e-09,8.054455740023114e-09,6.716333092434967e-10,6.716333092434967e-10
17,1.7142857142857142,0.8568749458943421,-7.3845655063524345e-09,6.807672114991813e-09,5.768933911855352e-10,5.768933911855352e-10
18,1.7857142857142856,0.6426234388349078,-6.169550846668715e-09,5.681255805165669e-09,4.882950417561325e-10,4.882950417561325e-10
19,1.857142857142857,0.42837029235840873,-5.069730018326396e-09,4.6638615504534515e-09,4.058684681749306e-10,4.058684681749306e-10
20,1.9285714285714284,0.21411587124689224,-4.074734064010827e-09,3.745215907250816e-09,3.2951815678320005e-10,3.2951815678320005e-10
21,2.0,-0.00013947305160301988,-3.175058543410729e-09,2.915999739245486e-09,2.590588043932015e-10,2.590588043932015e-10
22,2.071428571428571,-0.2143953984882331,-2.361993983090602e-09,2.1677508742697724e-09,1.942431083486726e-10,1.942431083486726e-10
23,2.142857142857143,-0.42865156861324366,-1.6275646635499806e-09,1.4927814941814486e-09,1.3478316914280067e-10,1.3478316914280067e-10
24,2.2142857142857144,-0.6429076488473207,-9.644733930223539e-10,8.841065249697786e-10,8.036686865295159e-11,8.036686865295159e-11
25,2.2857142857142856,-0.857163302770324,-3.660507616292904e-10,3.3538047073437344e-10,3.0670290355723654e-11,3.0670290355723654e-11
26,2.3571428571428568,-1.0714181883790783,1.7379204301929455e-10,-1.5915907118611149e-10,-1.4632971617819333e-11,1.4632971617819333e-11
27,2.4285714285714284,-1.2856719542686184,6.606074084514898e-10,-6.047424478809404e-10,-5.5864961667905915e-11,5.5864961667905915e-11
28,2.5,-1.4999242356923823,1.099452814478505e-09,-1.0061143897936909e-09,-9.333842518795935e-11,9.333842518795935e-11
29,2.571428571428571,-1.7141746504566109,1.4949298610148767e-09,-1.3675764845983876e-09,-1.273533763999511e-10,1.273533763999511e-10
30,2.642857142857143,-1.9284227946030361,1.851220945945901e-09,-1.6930261261979957e-09,-1.581948203517352e-10,1.581948203517352e-10
31,2.714285714285714,-2.142668237831668,2.1721236640778308e-09,-1.9859922907332395e-09,-1.8613137251022697e-10,1.8613137251022697e-10
32,2.7857142857142856,-2.3569105186126182,2.461082984626688e-09,-2.24966841848252e-09,-2.1141456629381942e-10,2.1141456629381942e-10
33,2.857142857142857,-2.5711491389325554,2.7212212770283737e-09,-2.486942621960399e-09,-2.3427865513049523e-10,2.3427865513049523e-10
34,2.9285714285714284,-2.7853835586169367,2.955366239131534e-09,-2.7004254248687857e-09,-2.549408140089826e-10,2.549408140089826e-10
35,3.0,-2.999613189164329,3.1660768044920925e-09,-2.8924752056797633e-09,-2.7360159948568976e-10,2.7360159948568976e-10
36,3.071428571428571,-3.2138373870236254,3.3556671113646784e-09,-3.0652215060856686e-09,-2.9044560496246847e-10,2.9044560496246847e-10
37,3.142857142857143,-3.4280554462383552,3.526228610666038e-09,-3.2205863610128908e-09,-3.056422498592516e-10,3.056422498592516e-10
38,3.214285714285714,-3.642266590375348,3.679650421767568e-09,-3.3603037856148585e-09,-3.1934663573541913e-10,3.1934663573541913e-10
39,3.2857142857142856,-3.856469963646409,3.817638015917366e-09,-3.485937563658483e-09,-3.317004526959327e-10,3.317004526959327e-10
40,3.3571428571428568,-4.070664621123667,3.941730347247203e-09,-3.5988974524399984e-09,-3.428328939246097e-10,3.428328939246097e-10
41,3.4285714285714284,-4.284849517937018,4.053315509898326e-09,-3.7004539440873146e-09,-3.528615657717291e-10,3.528615657717291e-10
42,3.5,-4.499023497333618,4.153645043522045e-09,-3.7917516782004205e-09,-3.6189336501101544e-10,3.6189336501101544e-10
43,3.571428571428571,-4.7131852774639125,4.243846967818191e-09,-3.8738216298772664e-09,-3.7002533773945615e-10,3.7002533773945615e-10
44,3.642857142857143,-4.927333436746644,4.324937648793885e-09,-3.947592166913709e-09,-3.7734548130184856e-10,3.7734548130184856e-10
45,3.714285714285714,-5.14146639764846,4.39783258531257e-09,-4.0138990751992125e-09,-3.8393351000101625e-10,3.8393351000101625e-10
46,3.7857142857142856,-5.355582408697899,4.463356207513915e-09,-4.073494635900803e-09,-3.898615716305218e-10,3.898615716305218e-10
47,3.8571428571428568,-5.569679524532153,4.522250758771748e-09,-4.1270558454177006e-09,-3.9519491347342353e-10,3.9519491347342353e-10
48,3.9285714285714284,-5.783755583756499,4.575184347179477e-09,-4.175191846941445e-09,-3.9999249982213875e-10,3.9999249982213875e-10
49,4.0,-5.997808184370698,4.6227582345887295e-09,-4.218450649403736e-09,-4.0430758635122654e-10,4.0430758635122654e-10
