point_id,beta1,beta_v,J0,J1,Jz,sigma,sum_J,energy_conserved,second_law_valid,beta_out,convergence_steps,final_error,threshold,margin,logic_output
33,2.857142857142857,-2.5711491389325554,2.7212212770283737e-09,-2.486942621960399e-09,-2.3427865513049523e-10,0.0,-6.252037864828921e-20,True,True,0.15255994232286155,1548,6.516003476058171e-13,0.1525599374012408,4.92162074983149e-09,1
34,2.9285714285714284,-2.7853835586169367,2.955366239131534e-09,-2.7004254248687857e-09,-2.549408140089826e-10,0.0,2.5376577704146804e-19,True,True,0.15255994243585902,1477,2.1439440893253257e-12,0.1525599374012408,5.034618222321541e-09,1
35,3.0,-2.999613189164329,3.1660768044920925e-09,-2.8924752056797633e-09,-2.7360159948568976e-10,0.0,-6.733605873845043e-19,True,True,0.15255994253791144,1571,6.339190223180112e-13,0.1525599374012408,5.136670644390051e-09,1
36,3.071428571428571,-3.2138373870236254,3.3556671113646784e-09,-3.0652215060856686e-09,-2.9044560496246847e-10,0.0,3.1654134090872987e-19,True,True,0.15255994263002814,1547,2.0251425866576073e-12,0.1525599374012408,5.228787347544284e-09,1
37,3.142857142857143,-3.4280554462383552,3.526228610666038e-09,-3.2205863610128908e-09,-3.056422498592516e-10,0.0,-2.0610445732677514e-19,True,True,0.15255994271313567,1492,1.8645431476942764e-13,0.1525599374012408,5.311894868409439e-09,1
38,3.214285714285714,-3.642266590375348,3.679650421767568e-09,-3.3603037856148585e-09,-3.1934663573541913e-10,0.0,4.1729028515646353e-19,True,True,0.15255994278808246,1415,6.61786464768388e-13,0.1525599374012408,5.386841667176512e-09,1
39,3.2857142857142856,-3.856469963646409,3.817638015917366e-09,-3.485937563658483e-09,-3.317004526959327e-10,0.0,-4.370499756291303e-19,True,True,0.15255994285564323,1348,8.52433334796224e-13,0.1525599374012408,5.4544024297165095e-09,1
40,3.3571428571428568,-4.070664621123667,3.941730347247203e-09,-3.5988974524399984e-09,-3.428328939246097e-10,0.0,8.825950961491801e-19,True,True,0.15255994291652442,1455,7.925207384327006e-13,0.1525599374012408,5.515283618695577e-09,1
41,3.4285714285714284,-4.284849517937018,4.053315509898326e-09,-3.7004539440873146e-09,-3.528615657717291e-10,0.0,3.928198010953073e-20,True,True,0.15255994297136938,1585,1.14736441466899e-13,0.1525599374012408,5.570128580600908e-09,1
42,3.5,-4.499023497333618,4.153645043522045e-09,-3.7917516782004205e-09,-3.6189336501101544e-10,0.0,3.1060880155549955e-19,True,True,0.15255994302076256,1521,5.049872789804571e-13,0.1525599374012408,5.619521764588242e-09,1
43,3.571428571428571,-4.7131852774639125,4.243846967818191e-09,-3.8738216298772664e-09,-3.7002533773945615e-10,0.0,2.0146810999341542e-19,True,True,0.15255994306523474,1375,8.657551941701215e-13,0.1525599374012408,5.6639939405300765e-09,1
44,3.642857142857143,-4.927333436746644,4.324937648793885e-09,-3.947592166913709e-09,-3.7734548130184856e-10,0.0,5.783274611695121e-19,True,True,0.15255994310526722,1517,1.2002964070557763e-12,0.1525599374012408,5.704026417863162e-09,1
45,3.714285714285714,-5.14146639764846,4.39783258531257e-09,-4.0138990751992125e-09,-3.8393351000101625e-10,0.0,1.123410533520518e-19,True,True,0.15255994314129595,1538,3.3450123584094837e-13,0.1525599374012408,5.740055153413692e-09,1
46,3.7857142857142856,-5.355582408697899,4.463356207513915e-09,-4.073494635900803e-09,-3.898615716305218e-10,0.0,-1.7409670352403573e-20,True,True,0.1525599431737154,1411,4.749453111609562e-13,0.1525599374012408,5.772474609422318e-09,1
47,3.8571428571428568,-5.569679524532153,4.522250758771748e-09,-4.1270558454177006e-09,-3.9519491347342353e-10,0.0,-1.193762244618153e-19,True,True,0.15255994320288246,1515,6.533292325737119e-13,0.1525599374012408,5.801641667080304e-09,1
48,3.9285714285714284,-5.783755583756499,4.575184347179477e-09,-4.175191846941445e-09,-3.9999249982213875e-10,0.0,4.158927635115552e-19,True,True,0.1525599432291196,1505,1.7654542402810969e-12,0.1525599374012408,5.827878790665153e-09,1
49,4.0,-5.997808184370698,4.6227582345887295e-09,-4.218450649403736e-09,-4.0430758635122654e-10,1.0343972832083075e-08,-1.1662328466517756e-18,True,True,0.15255994325271796,1385,4.0498171096095553e-13,0.1525599374012408,5.851477163920649e-09,1
